prompt,template_id,token_length,n_layers,ftle_final,ftle_final_std,expansive_frac,entropy,top1_prob,label,prompt_idx
Chemical symbol for nitrogen?,chemical symbol for nitrogen?,35,31,0.09228085994640071,0.006323455861115715,0.9435483870967742,2.175288677215576,0.4592745900154114,factual,0
Chemical symbol for carbon?,chemical symbol for carbon?,35,31,0.09004520489066577,0.006346117753536172,0.9233870967741935,2.257150173187256,0.47248393297195435,factual,1
Chemical symbol for tin?,chemical symbol for tin?,35,31,0.0915081938962515,0.004592495617201402,0.8991935483870968,2.595876455307007,0.5469250679016113,factual,2
Hemisphere of Thailand?,hemisphere of <e>?,35,31,0.09764864035132007,0.004034263778804379,0.9516129032258065,4.252890586853027,0.17155547440052032,factual,3
Chemical symbol for neon?,chemical symbol for neon?,35,31,0.09910273577978954,0.004125726647247441,0.9395161290322581,1.5945872068405151,0.6221100687980652,factual,4
Symbol of the element hydrogen?,symbol of the element hydrogen?,36,31,0.09189409153580932,0.003916202426691167,0.9112903225806451,2.1698737144470215,0.46231624484062195,factual,5
Symbol of the element chlorine?,symbol of the element chlorine?,36,31,0.0940611650300198,0.002994849256824206,0.9274193548387097,2.3634626865386963,0.5353173017501831,factual,6
Author of The Stranger?,author of <e> <e>?,36,31,0.08888165093857259,0.005179139007982402,0.9395161290322581,3.9549691677093506,0.20084132254123688,factual,7
Symbol of the element potassium?,symbol of the element potassium?,36,31,0.0984485573619865,0.0030597687419732264,0.9435483870967742,2.3324697017669678,0.46855178475379944,factual,8
On which continent is Paraguay?,on which continent is <e>?,36,31,0.09996265851340877,0.002887333709625946,0.9112903225806452,3.5437088012695312,0.15751202404499054,factual,9
Symbol of the element tin?,symbol of the element tin?,36,31,0.09208685198280306,0.004075510994221652,0.9314516129032258,2.319629192352295,0.5015257000923157,factual,10
Symbol of the element copper?,symbol of the element copper?,36,31,0.09310591775250804,0.005112208169969881,0.9193548387096775,2.1475725173950195,0.3200422525405884,factual,11
Define respiration in one sentence.,define respiration in one sentence.,36,31,0.1079592739849165,0.0070394943208688604,0.8669354838709677,0.3673239052295685,0.9430026412010193,factual,12
Symbol of the element helium?,symbol of the element helium?,36,31,0.09559025950515973,0.003807391265399789,0.9395161290322581,2.2264742851257324,0.4885210394859314,factual,13
Symbol of the element oxygen?,symbol of the element oxygen?,36,31,0.09296854509589667,0.0044937338037880446,0.9153225806451614,2.2755126953125,0.4694129228591919,factual,14
Who wrote Don Quixote?,who wrote <e> <e>?,37,31,0.08276441948026497,0.005122896816349454,0.9395161290322581,2.5351035594940186,0.5484165549278259,factual,15
What is the capital of Nepal?,what is the capital of <e>?,37,31,0.09609707487877481,0.00348314604639552,0.9233870967741935,3.1123642921447754,0.21794497966766357,factual,16
"What colour is Uranus, briefly?","what colour is <e>, briefly?",37,31,0.0930605589048297,0.005960465304523121,0.9314516129032259,2.192573070526123,0.6197721362113953,factual,17
Define natural selection in one sentence.,define natural selection in one sentence.,37,31,0.08350419161615232,0.0045942187259352145,0.8709677419354838,1.5637054443359375,0.6967993974685669,factual,18
Author of Don Quixote?,author of <e> <e>?,37,31,0.08587773398135493,0.0039472398625905215,0.9112903225806452,4.13574743270874,0.14380769431591034,factual,19
What language is spoken in Germany?,what language is spoken in <e>?,37,31,0.09110179817969535,0.004845849532154777,0.8911290322580645,3.248612403869629,0.21359311044216156,factual,20
Largest city of India?,largest city of <e>?,37,31,0.0896408091946535,0.006581285487066045,0.907258064516129,3.499145269393921,0.16342930495738983,factual,21
Define plate tectonics in one sentence.,define plate tectonics in one sentence.,37,31,0.09511940503940153,0.003876347429825557,0.875,1.8087491989135742,0.6199449896812439,factual,22
What is the capital of Japan?,what is the capital of <e>?,37,31,0.09677620523040256,0.007689419015827005,0.9435483870967742,3.135784387588501,0.21644660830497742,factual,23
"What colour is Earth, briefly?","what colour is <e>, briefly?",37,31,0.09053597994714835,0.003392388249143638,0.935483870967742,3.434659004211426,0.23690804839134216,factual,24
What language is spoken in Thailand?,what language is spoken in <e>?,37,31,0.09136152536491497,0.004254645644593788,0.9395161290322581,3.0464084148406982,0.24884125590324402,factual,25
