prompt,label,gradH,sigma_max,lambda_bulk_pred,entropy
What is photosynthesis?,factual,13.146207809448242,1043.0639181192455,0.1000871115985912,0.1138097718358039
What is evaporation?,factual,21.52243423461914,1030.008079372919,0.0973641145409645,0.1894944906234741
Main language of Estonia?,factual,56.642539978027344,606.3482478938076,0.091197918089665,1.8402369022369385
What is respiration?,factual,18.869129180908203,917.2335560862406,0.098134800383191,0.1393644362688064
Is Mars a planet?,factual,52.26986312866211,784.9071884302145,0.0892361546512177,0.8954216837882996
Chemical symbol for calcium?,factual,27.438383102416992,642.1793148362788,0.090148373963272,0.4092070460319519
Symbol of the element tin?,factual,65.86917877197266,995.7461895613452,0.1005811685518098,1.0809909105300903
Chemical symbol for nitrogen?,factual,32.02838134765625,633.0141505271056,0.0904867339189543,0.5796408653259277
Symbol of the element iron?,factual,36.50773620605469,891.896634904975,0.0951901476474906,1.188324809074402
Chemical symbol for lead?,factual,32.98941421508789,627.0796031985449,0.0871049918529519,0.7939571738243103
Symbol of the element chlorine?,factual,69.59441375732422,845.899730445201,0.0963591485240652,1.2609341144561768
Chemical symbol for zinc?,factual,32.96821212768555,662.1653797446862,0.0902321484314995,0.6345533728599548
Symbol of the element silver?,factual,51.83585739135742,939.7707913566404,0.0960863235143458,1.28687846660614
Define erosion in one sentence.,factual,36.04486083984375,1105.297871239459,0.1063183013042343,0.4371549487113952
Chemical symbol for hydrogen?,factual,39.150390625,640.0235911680523,0.0895609820508808,0.6448436975479126
Define magnetism in one sentence.,factual,12.51768970489502,760.1654203073441,0.0964120390770431,0.2415071725845337
Author of Ulysses?,factual,61.256378173828125,1010.3905073072458,0.099559276542562,1.7027074098587036
Define refraction in one sentence.,factual,81.34270477294922,789.620356314458,0.0966144298115014,1.3032407760620115
Define respiration in one sentence.,factual,23.454137802124023,887.8437891921067,0.1041829486433821,0.2156470566987991
"What colour is Saturn, briefly?",factual,46.5004768371582,749.7281288191189,0.0989908511881356,0.353460818529129
What is the capital of Latvia?,factual,67.65396118164062,1276.2496773525977,0.1023845137338609,0.6206534504890442
Hemisphere of Paraguay?,factual,89.94791412353516,977.116588204322,0.1021863610595396,2.143726348876953
Define condensation in one sentence.,factual,22.585290908813477,1503.108551617036,0.1128519713099444,0.1575456112623214
Largest city of Paraguay?,factual,68.15035247802734,947.501427074404,0.0947449609054798,1.2973088026046753
Who wrote Don Quixote?,factual,66.17315673828125,995.323162446846,0.1003121372713463,1.3449503183364868
Define natural selection in one sentence.,factual,26.17953109741211,845.9892734742415,0.0937883441533332,0.2250411212444305
What language is spoken in Bulgaria?,factual,57.19841003417969,749.7621112071319,0.0905219538194165,1.2102031707763672
What currency does Paraguay use?,factual,60.2818717956543,744.5923671206618,0.0862421740826897,1.2557828426361084
Define plate tectonics.,factual,16.994470596313477,796.5326256551268,0.0935583192600444,0.1590125411748886
Who wrote Ulysses?,factual,51.51664352416992,1249.6801194900374,0.1042883705885761,1.6234560012817385
What is the chemical symbol of carbon?,factual,16.85048484802246,828.3677254469319,0.0853346469061644,0.0966104716062545
Define osmosis in one sentence.,factual,130.3341827392578,1911.3661126870609,0.1226491442635337,1.174532175064087
What is the chemical symbol of silver?,factual,35.1258430480957,896.2784940522167,0.0906690840072568,0.1783132702112198
What is the chemical symbol of tin?,factual,20.874862670898438,842.8521179155053,0.0888591187781767,0.1282747238874435
What is the chemical symbol of hydrogen?,factual,19.871417999267578,777.3093551804774,0.0890300359738476,0.1137917637825012
What is the chemical symbol of zinc?,factual,22.1311092376709,951.2525787713304,0.0919894867487075,0.1170357018709182
What is the chemical symbol of neon?,factual,40.30727767944336,894.5250497887463,0.0955235226698016,0.2434667646884918
What language is spoken in Paraguay?,factual,61.00986099243164,785.8367892633745,0.090635247887861,1.6547603607177734
