prompt,n_dim,depth,final_index,sigma_max,sigma_2,spectral_gap,stable_rank,participation_ratio_topk,topk_mass_fraction,frobenius_sq_est,lambda_max,lambda_bulk_pred,conv_residual,n_iter_subspace,rand_mean,rand_mean_sq,rand_rms,rand_p50,rand_p90,rand_p99,rand_max,n_probes,leading_over_rms,entropy,top1_prob,anisotropy_identity_relerr,fd_lead_growth_eps_1e-4,fd_lead_relerr_eps_1e-4,fd_lead_growth_eps_1e-3,fd_lead_relerr_eps_1e-3,fd_lead_growth_eps_1e-2,fd_lead_relerr_eps_1e-2,chi_fisher_max,chi_fisher_2,fisher_conv_residual,chi_fisher_along_hidden_lead,lead_alignment,error,label,prompt_idx,wall_s
What is condensation?,3840,11,-2,102.69525951888505,95.79531671299083,0.9328114770027306,12.27429269259398,2.846721395408794,0.1974657443664413,129448.57343427313,0.4210696324853061,0.15990051451503423,0.006247263173488005,10,5.759276390075684,33.71056599850863,5.806080088881709,5.423533916473389,6.766869783401489,6.944193196296692,6.963895797729492,6,17.687537537679262,3.4254343509674072,0.4718092978000641,3.448590676809853e-13,103.10391895473003,0.003979340796834225,102.71722823381424,0.00021392141207011647,102.32229232788086,0.003631785856051154,3.3593345815169218,0.5180840658135107,2.7578612007611357e-05,2.0587975573967583,0.7508505748555089,,factual,0,5.7396910190582275
Define refraction.,3840,11,-2,319.40561375355793,184.66869998016733,0.5781636014783715,1.4679599197721285,1.8251081804183544,0.9743765104335981,149761.19188813033,0.5242238010510187,0.16652589112512356,0.004401079953930919,10,5.936269323031108,39.000310387533936,6.24502284924034,5.7486138343811035,8.126761436462402,8.926499176025391,9.015358924865723,6,51.145627720539096,5.3620123863220215,0.239590123295784,3.200419736398592e-13,319.4725140929222,0.00020945260973371244,319.4737732410431,0.00021339477000473272,318.7763214111328,0.0019701981284231743,7.28705120800082,2.223004034892144,2.7373179437436035e-06,7.199502156572635,0.9932234222237613,,factual,1,5.41225004196167
Define condensation.,3840,11,-2,266.8501095214729,242.84055930508273,0.9100260807108302,4.637938369719814,2.443414832988744,0.4446632987330495,330262.86502417544,0.5078806466548392,0.2024734787024608,0.0002380470365114503,10,8.96706509590149,86.00595443337902,9.273939531470917,8.683796882629395,11.623812675476074,13.263547897338867,13.445740699768066,6,28.77419122864603,5.829568862915039,0.15795405209064484,2.157148882877218e-13,267.27523654699326,0.0015931304142340202,267.6560878753662,0.003020341102121362,276.60982608795166,0.03657377763112127,5.382657543026603,3.719876052740525,4.1524859095536264e-05,4.74641518983708,0.8262096349944131,,factual,2,5.43104100227356
Who wrote Hamlet?,3840,11,-2,127.20860312551505,111.33802845893041,0.8752397693501419,7.807989258885922,2.895072371382959,0.3070949160537361,126349.10634798622,0.440529843932133,0.1587989270172743,0.0027017185945269837,10,5.673024415969849,32.903413111454746,5.736149676521242,5.661492109298706,6.629924297332764,6.808942651748657,6.82883358001709,6,22.176653382350388,5.1086273193359375,0.22323662042617798,3.4882484431806133e-13,127.53762304782867,0.0025864596751288722,127.40428745746613,0.001538294794087082,128.4138321876526,0.009474430443578886,3.654510880956994,1.5055519845714662,2.5795986549125794e-07,1.7203289518047313,0.4276475019469863,,factual,3,5.375874757766724
Who wrote The Stranger?,3840,11,-2,150.11249708462148,122.29504816610834,0.8146893199516048,4.448693214328325,2.6452982099752114,0.4611186425611387,100245.79312833888,0.45558045396050156,0.1482796697681583,0.005253812694916215,10,4.898951808611552,26.10567529383825,5.109371320802419,4.445167064666748,6.595102548599243,7.691210007667542,7.812999725341797,6,29.379837099218143,6.200552463531494,0.07698599249124527,3.914355131285224e-13,149.92699027061462,0.0012357852784387535,150.0227004289627,0.0005981957358830188,149.87006187438965,0.0016150234986442539,4.880678244405638,2.0634125509111643,1.3327444326918403e-05,3.804438623825476,0.8338381412606418,,factual,4,5.480976104736328
Define magnetism.,3840,11,-2,220.23397616928085,127.53843744791116,0.5791042765802826,3.0189519459361835,2.2300826033222925,0.5429343840566814,146428.2390924594,0.4904264099317515,0.1655028684682972,0.0037910054124010995,10,6.089863379796346,38.13235393032797,6.175139992771659,5.894792556762695,7.333122491836548,7.702668023109436,7.7437286376953125,6,35.66461269332212,5.514695167541504,0.20016193389892578,3.2373049272939827e-13,220.60474380850792,0.0016835169835106624,220.6939160823822,0.0020884148808529915,224.0898609161377,0.017508128463761815,3.443532419109654,1.717864487024904,4.707909385343951e-05,3.2467742345302213,0.9579448398979167,,factual,5,5.405019998550415
Is Venus a planet?,3840,11,-2,177.27303539003844,111.11594593992449,0.626806810722483,2.6885288529351326,2.4120298182703803,0.6571617461747691,84488.97934641808,0.47069919244141545,0.1405067607873626,1.370661221456544e-06,10,4.618952393531799,22.002338371463043,4.690665024435559,4.443425893783569,5.603956460952759,6.048960041999817,6.098404884338379,6,37.79272970176172,4.791776180267334,0.27564311027526855,4.2679613056874654e-13,176.98382958769798,0.0016314145109781956,176.52863264083862,0.004199187696887869,170.98605632781982,0.03546494845302271,4.90372367655295,0.9812360021498625,0.00010413338263278959,1.6885047803975795,0.4355554161096634,,factual,6,5.758929252624512
What is magnetism?,3840,11,-2,88.90835706667824,88.41481396611971,0.9944488559136305,13.872756856529483,2.9993107750568533,0.21287939971274963,109659.92502648558,0.40796419485010255,0.15235961907661086,0.00010162836741448203,10,5.336325009663899,28.557272142313952,5.343900461490086,5.376661062240601,5.6385884284973145,5.688958168029785,5.694554805755615,6,16.63735275523274,3.283830165863037,0.4664791524410248,3.743677331019564e-13,88.88748474419117,0.0002347622110642705,88.52097392082214,0.004357106110571394,85.1404070854187,0.04238015531468721,2.810627680560651,0.34155192743594803,9.947976984418621e-06,2.260796473357992,0.8880406377554627,,factual,7,6.986441135406494
Currency of Vietnam?,3840,11,-2,123.90626967459757,107.2114624854252,0.865262611544863,6.495960977860569,2.9011534316833196,0.3691648448058476,99730.95366803856,0.4381386718232161,0.14804562410307237,2.0980216585903134e-06,10,5.023930311203003,25.971602517718377,5.096234150597711,5.182680606842041,5.933380365371704,6.064164662361145,6.078696250915527,6,24.313299980543658,4.671589374542236,0.4134066104888916,3.925232392696702e-13,123.65096248686314,0.0020604864338577547,122.37004935741425,0.012398245231800846,110.54463386535645,0.10783664010167782,2.087480984220525,0.7692826584502596,0.0002761761286976088,0.5793283864467185,0.21678253072658532,,factual,8,6.832643032073975
Define osmosis.,4608,11,-2,446.33709882376866,208.35483937533678,0.46681048903264694,2.8896512947736093,1.6653781645044394,0.4597311344457507,575667.1007813873,0.55464313577144,0.21944252819056806,0.0001377622347552478,10,9.86192806561788,124.9277562459608,11.177108581648511,7.150996208190918,17.096839427947998,18.542927312850953,18.703603744506836,6,39.93314510306909,6.315665245056152,0.17788927257061005,1.7908647533994393e-13,444.8700323700905,0.0032869023380407447,440.41162729263306,0.013275776418207158,393.8380002975464,0.11762208130261394,15.048186836196605,4.506350189646053,0.001309545973113806,14.610314261859457,0.9843139162042538,,factual,9,7.773612976074219
Chemical symbol for carbon?,4608,11,-2,132.4374883818847,110.73202647522729,0.8361078711786625,5.1453824948090405,2.7152146792235317,0.4149256241241696,90248.40529193798,0.4441918862093866,0.13521690926217786,0.0006784005876950366,10,4.280617117881775,19.58515739842404,4.425512105782114,4.1831841468811035,5.635960817337036,6.171090054512024,6.230548858642578,6,29.925912576042833,5.402240753173828,0.28513264656066895,4.5205091679868043e-13,133.26135464012623,0.006220793434755462,132.4758678674698,0.0002897932153049342,132.60574340820312,0.0012704486348553195,2.531390361474684,1.6472556908912839,0.001574192281995967,1.5980444107486846,0.053645423295504834,,factual,10,7.753621816635132
