prompt,n_dim,depth,final_index,sigma_max,sigma_2,spectral_gap,stable_rank,participation_ratio_topk,topk_mass_fraction,frobenius_sq_est,lambda_max,lambda_bulk_pred,conv_residual,n_iter_subspace,rand_mean,rand_mean_sq,rand_rms,rand_p50,rand_p90,rand_p99,rand_max,n_probes,leading_over_rms,entropy,top1_prob,anisotropy_identity_relerr,fd_lead_growth_eps_1e-4,fd_lead_relerr_eps_1e-4,fd_lead_growth_eps_1e-3,fd_lead_relerr_eps_1e-3,fd_lead_growth_eps_1e-2,fd_lead_relerr_eps_1e-2,chi_fisher_max,chi_fisher_2,fisher_conv_residual,chi_fisher_along_hidden_lead,lead_alignment,error,label,prompt_idx,wall_s
What is photosynthesis?,69632,35,-2,750.6314550105919,610.9241472470172,0.8138802912787552,8.366426090413572,2.696674192728963,0.2501193683700593,4714042.544361451,0.18916899406605145,0.0602153839538634,0.0006345197750979937,8,8.196812152862549,67.69937017982322,8.227962699224104,7.997547626495361,9.064527034759521,9.432232999801636,9.473089218139648,6,91.22932157692999,0.00043942718184553087,0.9999644756317139,2.4281490247100897e-13,748.12151491642,0.003343771537174034,780.3509831428528,0.03959270282890216,715.2684688568115,0.0471109835828574,0.03066580139496691,0.008010327602829537,4.571441883025558e-07,0.0017673035610812349,0.11729286204769768,,factual,0,167.73734593391418
What is evaporation?,69632,35,-2,740.7294760288872,577.9083179237323,0.7801880937990295,6.1259316082621,2.7082199739962234,0.3382122820021758,3361177.1144976257,0.18878958511586186,0.055383175592967855,0.005484980852916746,8,6.88755202293396,48.27058126289099,6.94770330849634,6.746854782104492,8.059163331985474,8.191845345497132,8.206587791442871,6,106.6150126363259,0.00040000234730541706,0.9999686479568481,2.8788869231702647e-13,739.7355139255524,0.0013418692457921055,752.4768710136414,0.01585922440636881,564.0328884124756,0.23854402090719626,0.11061208760426526,0.00298836657925065,0.00015260657222968,0.02085629915421805,0.4307406879510267,,factual,1,161.5328929424286
Main language of Estonia?,69632,35,-2,1173.0707590802263,902.0432301187636,0.7689589252280324,4.183779936834143,2.721252840598623,0.4965558799958725,5757278.676481601,0.20192514771444728,0.06307137083223134,0.0006457053453399331,8,8.953738371531168,82.68150672796416,9.092937189267513,9.19890022277832,10.55242919921875,10.731957817077637,10.75190544128418,6,129.00900277466832,0.014635692350566387,0.9980680346488953,2.1989639476395787e-13,1174.405813217163,0.0011380849165344574,1172.1484661102295,0.0007862210892716358,1148.8641738891602,0.020635230231163395,9.626804635123975,0.0942230852212757,0.00121932080963753,4.672212455357112,0.6952689450778576,,factual,2,189.44375610351562
What is respiration?,69632,35,-2,975.5302812417914,769.488578253542,0.7887900489096336,5.168083010574791,2.5437783170883264,0.37726212607563425,4918254.413262508,0.19665660575275473,0.06082121029551869,0.00131021518966696,8,8.386959234873453,70.63210037428924,8.404290593160688,8.523947715759277,8.962189197540283,9.014026212692261,9.01978588104248,6,116.07526779661215,3.19858590955846e-05,0.9999979734420776,2.3801432322169394e-13,974.949300289154,0.000595553991310017,1008.8944435119629,0.03420105240372538,836.0251426696777,0.14300441642317022,0.006299061892011319,0.0013897445466407123,0.006450023210024489,0.0002229751090325749,0.023921503348046377,,factual,3,188.64111375808716
Is Mars a planet?,69632,35,-2,746.0069738298306,604.3036636031909,0.810050957701953,5.859224815376745,2.8663543389554236,0.39228941348264873,3260813.3226044723,0.18899242709878364,0.0549501099558932,0.0014617443718128484,8,6.817894220352173,46.829235446410735,6.8431889822224505,6.873922109603882,7.461271524429321,7.765215373039246,7.798986911773682,6,109.0145217043885,0.0008731565903872252,0.9999232292175293,2.923444335598247e-13,744.8821514844894,0.0015077906571926184,736.7643117904663,0.012389511577773259,577.4917125701904,0.2258896594418157,0.17998743821100066,0.02940875385160029,0.0077992677079266,0.014684075264359109,0.10136052506631095,,factual,4,178.33083295822144
Chemical symbol for calcium?,71680,35,-2,1210.7604113636867,645.7281173649243,0.5333244391742511,2.6809950440903645,1.9939770693368195,0.5591371863396565,3930179.949288231,0.20282868229568982,0.05720326748244775,0.0009288987326145565,8,7.374188820521037,54.82951938181126,7.404695765648394,7.377188205718994,8.12345814704895,8.329169201850892,8.352025985717773,6,163.51251282739267,1.8293214452569373e-05,0.9999988079071045,2.7009633450554917e-13,1189.4577741622925,0.0175944282629797,1207.1932554244995,0.0029462112451871863,779.5983791351318,0.35610846554103476,0.004064136697768194,1.0490302742801046e-05,2.788205921412768e-06,0.00063952829725622,0.4110449006940957,,factual,5,169.43111610412598
Symbol of the element tin?,71680,35,-2,2714.9305713240637,1092.9899217913396,0.40258485183224824,1.6996463955928582,1.5176365535201652,0.7372227298666442,12527835.247747326,0.2259006188509923,0.07376423569649783,0.005217442186854327,8,12.756916364034018,174.7744872732607,13.220230227695003,11.52380084991455,17.230343341827393,19.004701852798462,19.201852798461914,6,205.3618223407609,0.010523968376219273,0.9987449645996094,1.511314494543692e-13,2701.8949389457703,0.004801460676740636,2670.8643436431885,0.016231069827831467,2213.4620666503906,0.18470767170635535,41.90833976726077,1.0078327479027929,5.982017693386383e-07,39.4521178593277,0.9700503251026662,,factual,6,168.12591576576233
Chemical symbol for nitrogen?,71680,35,-2,1244.7880941077776,679.2965464377547,0.5457125993196867,4.356508356559901,1.947372704427035,0.3391431330801308,6750398.368224105,0.20362058825360801,0.0649306432996161,0.00030370173458248373,8,9.475648482640585,94.17408437812647,9.704333278393033,8.341664791107178,12.385859489440918,12.469995021820068,12.47934341430664,6,128.27136686238967,1.8777525838231668e-05,0.9999986886978149,2.0629198903630533e-13,1233.5427105426788,0.009033974230898389,1241.6232824325562,0.00254245014890659,789.2146587371826,0.3659847306758942,0.0040083181467043235,9.085049494280847e-05,3.872460653845327e-06,0.0008791417143356739,0.46019392842865986,,factual,7,173.87894105911255
Java: sort numbers.,69632,35,-2,1101.8967489057272,691.9634975931513,0.6279748971764609,4.67271652233117,2.3791383173361096,0.37304860538545875,5673502.336740382,0.2001368083155815,0.06286196671866903,0.00035283777089967336,8,8.823806047439575,81.47837684886808,9.026537367610466,7.8276526927948,11.350668907165527,12.275131511688233,12.377849578857422,6,122.07302800955476,0.8154374361038208,0.6795766353607178,2.2179188998005081e-13,1097.9842394590378,0.0035507042293889068,1102.5679111480713,0.0006090972162415136,1098.79789352417,0.0028122919725779446,107.28329679620985,63.08173053392843,0.0701857422754037,68.33540451899046,0.6781898749066868,,coding,0,173.83278894424438
Python: count vowels.,69632,35,-2,920.2595198141111,647.3668665156453,0.7034612004300811,4.9767637340822946,2.557758502661993,0.38107202862609163,4214709.646305373,0.19499016334338765,0.058615882149407335,0.005000864575842062,8,7.6047782103220625,60.528343955442516,7.779996398163853,7.0198655128479,9.618334770202637,10.767738151550294,10.8954496383667,6,118.28534008462807,0.5907725691795349,0.811312198638916,2.5702477799122417e-13,919.2449599504471,0.001102471467906045,915.8381819725037,0.004804446730961811,870.6850051879883,0.05387014593028778,140.87038454284726,49.94863619915686,9.30530972665742e-07,40.130109484229706,0.5159584055854909,,coding,1,150.5471489429474
