prompt,label,gradH,sigma_max,lambda_bulk_pred,entropy
What is condensation?,factual,7.269956111907959,102.69525951888504,0.1599005145150342,3.4254343509674072
Define refraction.,factual,6.737828731536865,319.40561375355793,0.1665258911251235,5.3620123863220215
Define condensation.,factual,5.362138271331787,266.8501095214729,0.2024734787024608,5.829568862915039
Who wrote Hamlet?,factual,6.33551025390625,127.20860312551504,0.1587989270172743,5.1086273193359375
Who wrote The Stranger?,factual,4.371368408203125,150.11249708462148,0.1482796697681583,6.200552463531494
Define magnetism.,factual,5.234925746917725,220.23397616928085,0.1655028684682972,5.514695167541504
Is Venus a planet?,factual,7.551787376403809,177.27303539003844,0.1405067607873626,4.791776180267334
What is magnetism?,factual,6.06850004196167,88.90835706667824,0.1523596190766108,3.283830165863037
Currency of Vietnam?,factual,7.060817241668701,123.90626967459755,0.1480456241030723,4.671589374542236
Define osmosis.,factual,10.41610336303711,446.33709882376866,0.219442528190568,6.315665245056152
Chemical symbol for carbon?,factual,6.93628454208374,132.4374883818847,0.1352169092621778,5.402240753173828
Chemical symbol for iron?,factual,7.126202583312988,125.70678729560176,0.1243519869910153,5.551014423370361
Main language of Paraguay?,factual,7.89108419418335,173.14718014950856,0.1373812908970495,4.755344390869141
Author of Ulysses?,factual,7.95628547668457,201.6010033905816,0.1548985407336084,5.929556369781494
Chemical symbol for gold?,factual,6.8495612144470215,119.07676214905868,0.11342406089171,5.4687180519104
Chemical symbol for copper?,factual,6.209019184112549,126.22039162918836,0.1419671722334599,5.543463706970215
Python: count words.,coding,5.033593654632568,135.66282479138548,0.1436566733425789,5.276822090148926
Go: sort numbers.,coding,6.698170185089111,227.5457442676105,0.1384538229121737,5.622959613800049
Java: sort numbers.,coding,5.022676944732666,195.37747575628688,0.1539137476490757,5.975546836853027
Python: sort numbers.,coding,5.85013484954834,155.6765630415547,0.1259246380784699,5.3683905601501465
Go: count words.,coding,7.141646385192871,287.09062045118213,0.1406988360121649,5.380046844482422
Java: count words.,coding,4.798416614532471,167.10210359158845,0.1479500572426071,5.903228759765625
Rust: sort numbers.,coding,4.950483322143555,236.3361806107319,0.1539520529363948,5.641686916351318
Ruby: sort numbers.,coding,4.3962483406066895,405.8459866721129,0.1763484046771765,5.875086784362793
Rust: count words.,coding,4.816182613372803,225.05149111605215,0.1497623206356912,5.56783390045166
Python: reverse a list.,coding,6.543454170227051,99.62583090868524,0.1032607979107417,5.191247940063477
Java: find the minimum.,coding,4.1915693283081055,134.88255911096826,0.1266676519511216,6.182158470153809
Ruby: find the maximum.,coding,4.134522438049316,397.0970813244243,0.2055169113609289,6.165108680725098
Go: find the minimum.,coding,5.586498260498047,223.63562630744943,0.1251801183432521,5.818820953369141
Rust: merge overlapping intervals.,coding,6.7363080978393555,199.2002126977505,0.1476287149297398,5.168282508850098
Python: trim whitespace.,coding,6.522420406341553,151.77265639092073,0.1223181078730973,5.468760967254639
Ruby: find the average.,coding,4.254785060882568,378.8166346821584,0.1448019581789578,6.318966865539551
21 km in metres?,reasoning,4.698829174041748,75.23932208432458,0.0979914360128078,4.877586364746094
20% of 194?,reasoning,6.644247531890869,156.191693832701,0.1399192609321405,5.804747104644775
9 km in metres?,reasoning,4.175517559051514,74.52673945635124,0.0973020657264856,4.886294364929199
40% of 164?,reasoning,6.646542549133301,153.517491658496,0.1547157577508922,5.900478839874268
12 km in metres?,reasoning,4.291616439819336,71.32294983627219,0.0907397084373675,4.888073444366455
10% of 280?,reasoning,5.561509132385254,139.8019045970958,0.1283820348748911,5.588517189025879
31 km in metres?,reasoning,4.811314582824707,79.57231536773574,0.1091349416299568,4.873162746429443
30% of 209?,reasoning,6.469287872314453,162.50699403909007,0.1496885330237815,5.984970569610596
8 km in metres?,reasoning,4.3357672691345215,73.10103785216545,0.0900318759758,4.9038987159729
Compute 33 + 65.,reasoning,14.525321006774902,635.6284460742748,0.1916286667042705,3.3602235317230225
What is 73 plus 31?,reasoning,7.175526142120361,99.1154320251131,0.1219493651440263,4.681310653686523
Thursday + 36 days = ?,reasoning,7.852357387542725,185.4101107392648,0.1327845390746287,5.1176958084106445
15% of 391?,reasoning,7.139182090759277,154.52062326949525,0.1072065926599635,6.22404670715332
Compute 54 + 85.,reasoning,9.59476375579834,531.4734459121714,0.177215151323162,3.7827134132385254
What is 68 plus 41?,reasoning,6.888771057128906,103.50060620635784,0.1222862770330184,4.699467182159424
Thursday + 22 days = ?,reasoning,8.135769844055176,180.8507262841618,0.140790214012729,4.977427959442139
constitutional article of Atlantis?,hallucination_prone,4.650177955627441,86.25209989666268,0.119740922667826,4.887076377868652
official GDP of Atlantis?,hallucination_prone,6.639155864715576,109.4726045728154,0.1275678757721529,4.791867256164551
public debt of Atlantis?,hallucination_prone,4.6683502197265625,111.65291242157612,0.1187183315607396,5.072132110595703
internet domain of Atlantis?,hallucination_prone,4.562382221221924,95.64223918461816,0.1114616392979391,5.073225021362305
Capital of Neverland?,hallucination_prone,8.899572372436523,105.4908062379402,0.1270438544176667,4.971647262573242
Capital of Eldoria?,hallucination_prone,8.219826698303223,123.37980632871124,0.1410513088095293,5.002199649810791
Capital of Camelot?,hallucination_prone,7.588113784790039,112.69785437860536,0.145619871260898,5.096043109893799
Capital of Westeros?,hallucination_prone,6.802395343780518,112.82508425538548,0.1168166544942956,4.8316802978515625
Capital of Mordor?,hallucination_prone,6.908173084259033,130.45892786264022,0.1230064973496221,5.13816499710083
inflation rate of Atlantis?,hallucination_prone,5.225196361541748,87.7318489194023,0.1061009282630861,4.889011383056641
airport code of Atlantis?,hallucination_prone,5.32045316696167,144.58504591762218,0.1136915240219873,5.161099433898926
national railway operator of Atlantis?,hallucination_prone,6.193658828735352,94.70566052716008,0.0993140342582398,4.709326267242432
official tax code of Atlantis?,hallucination_prone,4.866262435913086,96.31956732044516,0.1024339663664365,4.7897629737854
central bank rate of Atlantis?,hallucination_prone,5.42930793762207,102.58735542594752,0.1281720598283644,4.875207424163818
internet domain of Camelot?,hallucination_prone,5.173543930053711,105.26055136673408,0.1079755455961977,4.770289421081543
public debt of Mordor?,hallucination_prone,5.271555423736572,121.94724783550149,0.1172158690408618,4.943484783172607
