prompt,label,h_pre_norm,h_post_norm,prompt_ppl,sigma_max
What is photosynthesis?,factual,75.73567199707031,314.04888916015625,125.88672083099394,1043.0639181192455
What is evaporation?,factual,74.53778839111328,323.9739685058594,105.33386893856039,1030.008079372919
Main language of Estonia?,factual,71.32113647460938,311.82391357421875,685.5255013900163,606.3482478938076
What is respiration?,factual,76.05258178710938,322.3369140625,110.45128731272378,917.2335560862406
Is Mars a planet?,factual,70.06705474853516,317.6197814941406,162.64112048525433,784.9071884302145
Chemical symbol for calcium?,factual,69.11375427246094,296.2798767089844,95.10011797753657,642.1793148362788
Symbol of the element tin?,factual,69.99315643310547,301.8087158203125,697.5971269791172,995.7461895613452
Chemical symbol for nitrogen?,factual,69.66797637939453,301.27581787109375,89.71605532032784,633.0141505271056
Symbol of the element iron?,factual,69.4582290649414,310.9298400878906,328.8113118442595,891.896634904975
Chemical symbol for lead?,factual,69.5445785522461,299.1494445800781,159.90093118347406,627.0796031985449
Symbol of the element chlorine?,factual,69.73882293701172,306.0334167480469,523.1267565989258,845.899730445201
Chemical symbol for zinc?,factual,69.61459350585938,295.3497009277344,125.23095395294033,662.1653797446862
Symbol of the element silver?,factual,70.27169799804688,306.9575500488281,406.44773558228235,939.7707913566404
Define erosion in one sentence.,factual,75.4970932006836,303.1899719238281,1405.2836154300446,1105.297871239459
Chemical symbol for hydrogen?,factual,69.02430725097656,299.6746520996094,103.64317785272513,640.0235911680523
Define magnetism in one sentence.,factual,76.77804565429688,311.237548828125,192.32474321426824,760.1654203073441
Author of Ulysses?,factual,71.021484375,311.489013671875,44.32517420195585,1010.3905073072458
Define refraction in one sentence.,factual,75.0749740600586,316.2673645019531,90.56715273309912,789.620356314458
Define respiration in one sentence.,factual,75.88725280761719,313.9908752441406,48.426033248699945,887.8437891921067
"What colour is Saturn, briefly?",factual,72.50908660888672,323.2767333984375,532.5257657544855,749.7281288191189
What is the capital of Latvia?,factual,72.92456817626953,317.45831298828125,28.53919212979753,1276.2496773525977
Hemisphere of Paraguay?,factual,71.76341247558594,321.88079833984375,692.7643826630893,977.116588204322
Define condensation in one sentence.,factual,77.14189910888672,319.24700927734375,44.23370802749525,1503.108551617036
Largest city of Paraguay?,factual,72.70235443115234,316.04766845703125,248.47381486144212,947.501427074404
Who wrote Don Quixote?,factual,75.16374206542969,319.0145568847656,54.04692587312384,995.323162446846
Define natural selection in one sentence.,factual,78.5184097290039,313.0877990722656,67.37135045221403,845.9892734742415
What language is spoken in Bulgaria?,factual,70.56451416015625,302.8034973144531,43.1192143405015,749.7621112071319
What currency does Paraguay use?,factual,73.32923889160156,324.937744140625,101.16044308349849,744.5923671206618
Define plate tectonics.,factual,76.01182556152344,323.87603759765625,41.99800103007899,796.5326256551268
Who wrote Ulysses?,factual,74.88218688964844,314.110107421875,71.0346212397317,1249.6801194900374
What is the chemical symbol of carbon?,factual,70.32328033447266,306.4783935546875,23.16062574062957,828.3677254469319
Define osmosis in one sentence.,factual,74.15045166015625,319.5252685546875,255.80208239990677,1911.3661126870609
What is the chemical symbol of silver?,factual,70.64476776123047,305.7377014160156,25.266479533855232,896.2784940522167
What is the chemical symbol of tin?,factual,70.76374053955078,304.4902038574219,34.518546306329405,842.8521179155053
What is the chemical symbol of hydrogen?,factual,69.78813934326172,307.7358703613281,22.669589805341683,777.3093551804774
What is the chemical symbol of zinc?,factual,71.02774047851562,304.42657470703125,25.49878417553666,951.2525787713304
