prompt,label,gradH,sigma_max,lambda_bulk_pred,entropy
Chemical symbol for nitrogen?,factual,7.619410514831543,2050.869174479734,0.0933835019405568,2.175295352935791
Chemical symbol for carbon?,factual,8.086124420166016,1957.5239512599337,0.0894919906203362,2.257155418395996
Chemical symbol for tin?,factual,12.501443862915039,1992.0402919415085,0.0929893602326857,2.5958871841430664
Hemisphere of Thailand?,factual,3.7610654830932617,1438.4031152519756,0.0971055936496808,4.252896308898926
Chemical symbol for neon?,factual,13.683770179748535,2002.894943696635,0.0998733641753923,1.5945979356765747
Symbol of the element hydrogen?,factual,7.664617538452148,1291.456922168,0.0897092140617061,2.169880628585815
Symbol of the element chlorine?,factual,8.481173515319824,1441.2234018864049,0.0936363510993863,2.363464832305908
Author of The Stranger?,factual,4.436258316040039,2017.846517553,0.0958881914240804,3.9549732208251953
Symbol of the element potassium?,factual,9.150672912597656,1336.9455703541971,0.095759502448387,2.33247447013855
On which continent is Paraguay?,factual,3.6183454990386963,1736.898111318271,0.1008412457547635,3.5437073707580566
Symbol of the element tin?,factual,8.413573265075684,1535.3799827703683,0.0948318957057868,2.319636583328247
Symbol of the element copper?,factual,5.788138389587402,1457.5814183177554,0.0923048215719643,2.1475725173950195
Define respiration in one sentence.,factual,5.790576457977295,1931.53650447347,0.1048708262024196,0.3673263490200043
Symbol of the element helium?,factual,8.014311790466309,1352.8678639516284,0.0937363090758858,2.226472854614258
Symbol of the element oxygen?,factual,7.282810211181641,1361.877996438809,0.0903671568830098,2.275516986846924
Who wrote Don Quixote?,factual,9.311039924621582,1874.198783340978,0.0899579088714681,2.535112142562866
What is the capital of Nepal?,factual,7.288442134857178,1793.94990146568,0.0973553135440618,3.112360715866089
"What colour is Uranus, briefly?",factual,15.896032333374023,1441.7382422618414,0.093621022811327,2.1925692558288574
Define natural selection in one sentence.,factual,9.07711410522461,1248.4382213253157,0.0863029257794681,1.5637059211730957
Author of Don Quixote?,factual,3.8556995391845703,1893.97840083589,0.0903117289482344,4.13574743270874
What language is spoken in Germany?,factual,7.580881595611572,1549.6532856154952,0.0926473485772612,3.2486071586608887
Largest city of India?,factual,6.807873249053955,2427.5817001693763,0.0957154182641424,3.4991354942321777
Define plate tectonics in one sentence.,factual,11.560481071472168,1537.7685155625231,0.0943984942436651,1.8087477684020996
What is the capital of Japan?,factual,9.216120719909668,1715.7361522548886,0.0938414127583682,3.135781764984131
"What colour is Earth, briefly?",factual,6.911770820617676,1321.5554673680992,0.0894618932153817,3.43465518951416
What language is spoken in Thailand?,factual,8.799653053283691,1529.34754332969,0.0933079943520386,3.046398878097534
Largest city of Chile?,factual,8.65223217010498,2440.605231197696,0.0966637024706539,3.393564462661743
What is the capital of Sweden?,factual,9.288033485412598,1671.8239279361492,0.0943726686826243,3.0183935165405273
"What colour is Mercury, briefly?",factual,17.028221130371094,1391.265704506604,0.0916643317479807,1.4859799146652222
What language is spoken in Hungary?,factual,9.736809730529785,1581.9169269202473,0.0942221835638477,2.865185260772705
What is the chemical symbol of oxygen?,factual,13.793478012084961,1772.5041163348185,0.09301069761803,1.8558329343795776
What is the chemical symbol of zinc?,factual,15.323328018188477,1761.3068530863625,0.093810330910475,1.87842059135437
Author of 1984?,factual,6.446178913116455,2496.9763759729026,0.0922801053583369,4.0352325439453125
What is the chemical symbol of nickel?,factual,16.87553596496582,1801.762424351252,0.0959692342907315,1.909438967704773
What is the chemical symbol of potassium?,factual,18.258560180664062,1693.0880629716366,0.0954490848016167,1.9025627374649048
What is the chemical symbol of lead?,factual,15.546422958374023,1760.8067505615988,0.0949481827393965,2.45584487915039
What is the chemical symbol of hydrogen?,factual,16.436229705810547,1691.5714566698225,0.0929165168083552,2.096342086791992
What is the chemical symbol of sodium?,factual,16.470388412475586,1604.054927941536,0.0904660240258371,1.9991734027862549
What is the chemical symbol of iron?,factual,12.146088600158691,1877.873024861356,0.0934941789416076,1.5021991729736328
What is the chemical symbol of tin?,factual,17.3326358795166,1831.3200964453997,0.0934557668994632,2.124971628189087
Go: remove duplicates.,coding,4.790025234222412,1542.526017242859,0.0967546993718013,4.2271857261657715
Go: count vowels.,coding,7.363915920257568,2026.1983598190052,0.0958939545032097,4.239573955535889
Java: count vowels.,coding,8.668864250183105,1509.9110831058535,0.0899303458025207,3.3001627922058105
Python: count words.,coding,7.023288249969482,1210.0663123384863,0.0875470020079066,3.036520481109619
Java: remove duplicates.,coding,7.1842427253723145,1717.8492586695886,0.0906743366263637,3.557722806930542
Go: square each element.,coding,5.240318298339844,2009.87772448036,0.0948867501955489,4.374433994293213
Python: find the maximum.,coding,7.005128860473633,1258.524294587109,0.0873528241797191,2.8273558616638184
Java: flatten a list.,coding,9.728346824645996,1539.414523036676,0.0924019871505466,3.395432949066162
Python: reverse a list.,coding,9.4623441696167,1377.7405123063916,0.0902746657530616,2.16361141204834
Java: implement binary search.,coding,9.500818252563477,1762.8620910626385,0.0900540434001978,3.0257277488708496
Python: swap two variables.,coding,8.340065002441406,1370.6164756781027,0.0907062018192738,2.8474302291870117
Python: trim whitespace.,coding,8.074490547180176,1130.6032037191485,0.0902768178727125,2.8330230712890625
Go: find the maximum.,coding,7.970604419708252,1820.086015171468,0.0941830406853403,4.094691276550293
Go: merge two lists.,coding,4.601861000061035,1618.741938463062,0.0958541590712286,4.172638416290283
Java: filter even numbers.,coding,8.233695983886719,1502.5003025991327,0.0889244124676056,3.3209261894226074
Python: round to two decimals.,coding,9.172876358032227,1266.297120070195,0.0873703056603658,2.257399320602417
Rust: reverse a string.,coding,6.2298736572265625,1568.2201654237697,0.0900858919537211,3.733675479888916
Java: group anagrams together.,coding,8.085593223571777,1866.1003036057791,0.095419588611554,3.860363721847534
C++: implement binary search.,coding,7.590876579284668,1528.7741432689943,0.0890224499416812,2.9675350189208984
JavaScript: find the minimum.,coding,5.3420281410217285,1317.8019099083065,0.0868178920249301,3.735426187515259
Java: round to two decimals.,coding,7.103503227233887,1421.5789931316438,0.0895600121614306,3.5853569507598877
Ruby: swap two variables.,coding,15.421661376953125,2353.9979174678333,0.1007209371958663,1.4212369918823242
Java: fizzbuzz.,coding,18.70018768310547,1853.417106116831,0.0904421798494494,3.108541965484619
Python: fizzbuzz.,coding,9.061928749084473,1412.315667113999,0.0885088416569934,3.371225595474243
Ruby: square each element.,coding,15.924592018127441,1932.371215151496,0.0946780056194179,2.533576726913452
TypeScript: sum a list.,coding,6.739643096923828,1820.721934722306,0.0945897449133317,4.043051242828369
Rust: find the average.,coding,4.083709239959717,1529.3108267445728,0.0872039073994464,3.9699337482452393
Ruby: trim whitespace.,coding,16.121173858642578,1936.3621556333912,0.096501545020785,1.721593141555786
C++: check primality.,coding,9.919135093688965,1701.6772284826384,0.091478523776552,3.5005509853363037
Rust: trim whitespace.,coding,5.339598655700684,1597.138141024529,0.0913647834656155,4.239752292633057
Write Go code to validate balanced brackets.,coding,7.465490818023682,1553.6994981503424,0.0896614023139395,1.6862361431121826
Java: build a small inverted index.,coding,4.192413330078125,1564.026785266087,0.0948299442515706,4.171047210693359
C++: join with dashes.,coding,5.537374019622803,1716.2836572517829,0.0910208011392817,3.7853617668151855
TypeScript: join with dashes.,coding,6.33209228515625,1779.0019573400775,0.0952205687428999,4.318633556365967
C++: validate an email address.,coding,7.823240756988525,1756.5400754352308,0.0921129868187344,3.470707416534424
Kotlin: validate balanced brackets.,coding,6.026541709899902,1619.327192673033,0.0893767277141952,3.2682511806488037
JavaScript: round to two decimals.,coding,8.284436225891113,1331.1226597320392,0.0877311050632828,3.4491753578186035
Java: rotate a matrix in place.,coding,7.250047206878662,1750.0121845750352,0.0905469863297336,3.682430505752563
Go: find the longest common prefix.,coding,5.887142658233643,1538.262989582541,0.092628383522915,3.9896957874298096
JavaScript: validate an email address.,coding,9.074943542480469,1611.727621817559,0.0917944299930605,3.7109010219573975
3 km in metres?,reasoning,6.780025959014893,1241.554797979932,0.0865065684471388,3.2800369262695312
9 km in metres?,reasoning,6.869027137756348,1278.4874871407794,0.0881592602160918,3.301887273788452
4 km in metres?,reasoning,6.141854286193848,1258.040134447064,0.0857914012257658,3.475006341934204
6 km in metres?,reasoning,5.058262825012207,1280.342129139386,0.0864414705262451,3.566161632537842
5 km in metres?,reasoning,5.926801681518555,1256.1645558618904,0.0873812084107816,3.3654561042785645
34 km in metres?,reasoning,6.3736796379089355,1141.660646496421,0.084331481777125,3.372248649597168
37 mod 4?,reasoning,10.08950138092041,1900.0007907082895,0.0901023236582894,3.4200351238250732
37 km in metres?,reasoning,6.546680927276611,1139.2800142808603,0.0858323501520633,3.371344804763794
28 mod 4?,reasoning,9.081602096557617,2179.1832041029184,0.0921241150076515,3.57979965209961
25 km in metres?,reasoning,6.5369157791137695,1212.687430249661,0.0874719135503182,3.474261522293091
10 mod 5?,reasoning,6.616533279418945,1948.1787446793485,0.0933128477958166,3.5210139751434326
27 km in metres?,reasoning,5.898149013519287,1206.982250748873,0.0857253937023769,3.5315370559692383
17 mod 8?,reasoning,8.705853462219238,1907.580040809789,0.0909255244865253,3.482689619064331
10 km in metres?,reasoning,7.347873210906982,1289.323898630717,0.0850155177757411,3.0786168575286865
