label,prompt,token_length,template_id
factual,What is photosynthesis?,34,what is photosynthesis?
factual,What is evaporation?,34,what is evaporation?
factual,Main language of Estonia?,34,main language of <e>?
factual,What is respiration?,34,what is respiration?
factual,Is Mars a planet?,34,is <e> a planet?
coding,Java: sort numbers.,34,java: sort numbers.
coding,Python: count vowels.,34,python: count vowels.
coding,Python: trim whitespace.,34,python: trim whitespace.
coding,JavaScript: count vowels.,34,javascript: count vowels.
coding,JavaScript: remove duplicates.,34,javascript: remove duplicates.
reasoning,6 km in metres?,34,# km in metres?
reasoning,5 km in metres?,34,# km in metres?
reasoning,2 km in metres?,34,# km in metres?
reasoning,3 km in metres?,34,# km in metres?
reasoning,9 km in metres?,34,# km in metres?
hallucination_prone,Capital of Westeros?,34,capital of <e>?
hallucination_prone,airport code of Atlantis?,34,airport code of <e>?
hallucination_prone,constitutional article of Atlantis?,34,constitutional article of <e>?
hallucination_prone,official GDP of Atlantis?,34,official <e> of <e>?
hallucination_prone,public debt of Atlantis?,34,public debt of <e>?
factual,Chemical symbol for calcium?,35,chemical symbol for calcium?
factual,Symbol of the element tin?,35,symbol of the element tin?
factual,Chemical symbol for nitrogen?,35,chemical symbol for nitrogen?
factual,Symbol of the element iron?,35,symbol of the element iron?
factual,Chemical symbol for lead?,35,chemical symbol for lead?
factual,Symbol of the element chlorine?,35,symbol of the element chlorine?
factual,Chemical symbol for zinc?,35,chemical symbol for zinc?
factual,Symbol of the element silver?,35,symbol of the element silver?
factual,Define erosion in one sentence.,35,define erosion in one sentence.
factual,Chemical symbol for hydrogen?,35,chemical symbol for hydrogen?
coding,Java: find the average.,35,java: find the average.
coding,Ruby: check a palindrome.,35,ruby: check a palindrome.
coding,Ruby: implement binary search.,35,ruby: implement binary search.
coding,Go: check a palindrome.,35,go: check a palindrome.
coding,Java: reverse a string.,35,java: reverse a string.
coding,Ruby: split on commas.,35,ruby: split on commas.
coding,JavaScript: merge overlapping intervals.,35,javascript: merge overlapping intervals.
coding,JavaScript: flatten a list.,35,javascript: flatten a list.
coding,Python: square each element.,35,python: square each element.
coding,Python: filter even numbers.,35,python: filter even numbers.
reasoning,17 km in metres?,35,# km in metres?
reasoning,57 mod 7?,35,# mod #?
reasoning,30 km in metres?,35,# km in metres?
reasoning,26 mod 3?,35,# mod #?
reasoning,33 km in metres?,35,# km in metres?
reasoning,48 mod 4?,35,# mod #?
reasoning,13 km in metres?,35,# km in metres?
reasoning,11 mod 4?,35,# mod #?
reasoning,37 km in metres?,35,# km in metres?
reasoning,12 mod 7?,35,# mod #?
hallucination_prone,official census population of Atlantis?,35,official census population of <e>?
hallucination_prone,ISO country code of Atlantis?,35,iso country code of <e>?
hallucination_prone,central bank rate of Atlantis?,35,central bank rate of <e>?
hallucination_prone,UN seat number of Atlantis?,35,un seat number of <e>?
hallucination_prone,airport code of Neverland?,35,airport code of <e>?
hallucination_prone,Capital of the planet Vulcan?,35,capital of the planet <e>?
hallucination_prone,constitutional article of Eldoria?,35,constitutional article of <e>?
hallucination_prone,public debt of Neverland?,35,public debt of <e>?
hallucination_prone,Capital of the Moon Kingdom?,35,capital of the <e> <e>?
hallucination_prone,inflation rate of Atlantis?,35,inflation rate of <e>?
factual,Define magnetism in one sentence.,36,define magnetism in one sentence.
factual,Author of Ulysses?,36,author of <e>?
factual,Define refraction in one sentence.,36,define refraction in one sentence.
factual,Define respiration in one sentence.,36,define respiration in one sentence.
factual,"What colour is Saturn, briefly?",36,"what colour is <e>, briefly?"
factual,What is the capital of Latvia?,36,what is the capital of <e>?
factual,Hemisphere of Paraguay?,36,hemisphere of <e>?
factual,Define condensation in one sentence.,36,define condensation in one sentence.
factual,Largest city of Paraguay?,36,largest city of <e>?
factual,Who wrote Don Quixote?,36,who wrote <e> <e>?
factual,Define natural selection in one sentence.,36,define natural selection in one sentence.
