prompt,n_dim,depth,final_index,sigma_max,sigma_2,spectral_gap,stable_rank,participation_ratio_topk,topk_mass_fraction,frobenius_sq_est,lambda_max,lambda_bulk_pred,conv_residual,n_iter_subspace,rand_mean,rand_mean_sq,rand_rms,rand_p50,rand_p90,rand_p99,rand_max,n_probes,leading_over_rms,entropy,top1_prob,anisotropy_identity_relerr,fd_lead_growth_eps_1e-4,fd_lead_relerr_eps_1e-4,fd_lead_growth_eps_1e-3,fd_lead_relerr_eps_1e-3,fd_lead_growth_eps_1e-2,fd_lead_relerr_eps_1e-2,chi_fisher_max,chi_fisher_2,fisher_conv_residual,chi_fisher_along_hidden_lead,lead_alignment,error,label,prompt_idx,wall_s
What is photosynthesis?,52224,27,-2,763.9401022744643,705.4070388268276,0.9233800355900047,4.154980092216481,2.446317069778419,0.5025706483045005,2424864.995559613,0.24586997725662055,0.07107386982492674,0.002167792574355561,8,6.777378559112549,46.43200435737617,6.814103342140928,6.517065763473511,7.570741891860962,8.200424790382385,8.270389556884766,6,112.11161086299715,0.053756121546030045,0.9943872690200806,2.936371705998567e-13,759.7364485263824,0.0055025959961603746,748.6360669136047,0.020033030489295035,568.4646606445312,0.2558779687673778,9.083791390785233,1.1606878940626337,0.014836495982251173,5.679118572785228,0.7699786869140406,,factual,0,63.04387831687927
What is evaporation?,52224,27,-2,834.51713243593,688.03720857603,0.8244734371931582,5.40018572468005,2.7273751982832954,0.39480129551747206,3760791.101544116,0.24914271381748193,0.07920078618996876,0.0015531443080094905,8,8.446405728658041,72.0126972568956,8.486029534293149,8.021124839782715,9.582702159881592,9.679991674423217,9.690801620483398,6,98.34011643059212,0.1829921454191208,0.975486695766449,2.3549032100546503e-13,834.6477895975113,0.00015656618241010947,847.1642136573792,0.015154968939382618,953.4926414489746,0.14256808445113478,60.58383191811396,20.04280768688149,3.2146601514200225e-05,11.464582257269171,0.17427045619188952,,factual,1,61.3231418132782
Main language of Estonia?,52224,27,-2,1447.4280460852385,729.0013599508471,0.5036529186528669,2.2544352513279953,1.8827244989334182,0.6378538254482663,4723149.948533012,0.26953864811543654,0.08342016775237637,0.0027769212697079993,8,9.41243028640747,90.44021807086801,9.51000620771974,8.840532302856445,11.254966735839844,11.59302806854248,11.630590438842773,6,152.2005364108109,0.5423261523246765,0.8071423768997192,2.1028503916143787e-13,1445.8993077278137,0.0010561757191036023,1483.81769657135,0.025140904644298002,980.9367179870605,0.3222898225302912,197.63124858510946,8.309195469871371,2.3397411633844654e-06,73.19578707457936,0.6061739643730408,,factual,2,62.521880865097046
What is respiration?,52224,27,-2,793.275274526956,695.3347076821005,0.8765364684998407,5.621656659808839,2.9256046634078348,0.4377372528362921,3537627.9280712423,0.24726556636851835,0.07806795454385834,0.0015266767329057671,8,8.026830355326334,67.73950536288378,8.230401288083332,8.07102656364441,10.029528617858887,11.067433643341065,11.182756423950195,6,96.38354762548823,0.113816037774086,0.986630380153656,2.431901328326661e-13,792.5892621278763,0.0008647847993103868,799.8064160346985,0.008233133840755524,859.3883514404297,0.08334191047729053,20.61652752094741,5.137448347654195,0.0059217069291207635,3.238850661703447,0.2534367350133621,,factual,3,60.58093214035034
Is Mars a planet?,52224,27,-2,853.3324481396737,582.4852396350049,0.682600598283663,5.330920845216941,2.4914457752054364,0.34467640783018255,3881850.0409987015,0.2499684893136534,0.07978749952455695,0.009797883688852942,8,8.608364820480347,74.33076824829008,8.62152934509244,8.582272052764893,9.139117240905762,9.266784381866454,9.280969619750977,6,98.9769232329192,0.3172626495361328,0.9273055195808411,2.320984731300165e-13,851.5241742134094,0.002119073205532565,849.0919470787048,0.0049693423357021925,818.9711570739746,0.040267179738224135,66.75850956619574,7.128712188579254,8.561051740686214e-05,18.65761908094086,0.5198420996444918,,factual,4,62.66802930831909
Chemical symbol for calcium?,53760,27,-2,1214.88998533428,525.563426318096,0.43260166160105895,2.50615315075341,1.7139407498454693,0.5381016013789508,3698975.981252763,0.26305217794907565,0.07835706670904143,0.003737398432206437,8,8.26500940322876,68.80535679413622,8.294899444486125,8.254112243652344,8.992453575134277,9.369006538391114,9.410845756530762,6,146.46229209465682,0.16203145682811737,0.973569393157959,2.4150075965162544e-13,1220.1840430498123,0.004357643720369966,1208.8550329208374,0.004967488814867535,1116.560935974121,0.08093658730185628,66.46365226364034,12.738753741960803,0.0009804106176663616,41.77685804944957,0.7824012553231741,,factual,5,62.59377908706665
Symbol of the element tin?,53760,27,-2,1356.4128303609727,1227.2114029287973,0.9047477106230315,3.7085797025371177,2.7126650384696482,0.603327545969895,6823251.7507477375,0.26713329145683573,0.08969558772756864,1.8017377353227147e-06,8,10.91119376818339,126.92060548265881,11.265904556788097,9.869985103607178,14.621668338775635,15.36412138938904,15.446616172790527,6,120.39981552511615,0.6885439157485962,0.8718504905700684,1.7755584191381815e-13,1363.4063303470612,0.0051558786746563525,1350.2246141433716,0.0045621923348766425,1250.5666732788086,0.07803388077212155,238.7009744136306,149.33219548677022,3.212302268987899e-06,97.62661006327096,0.22226324277414844,,factual,6,61.45127725601196
Chemical symbol for nitrogen?,53760,27,-2,1219.3637202920174,530.7588212252981,0.4352752278854006,3.356450476510177,1.7459815174621025,0.40657128163706907,4990531.283260101,0.26318831336790277,0.08390311030471109,0.0014479349194516404,8,9.292338689168295,92.82982297730844,9.634823453354423,8.358756065368652,12.132438659667969,14.43392505645752,14.689645767211914,6,126.55797235883568,0.22850292921066284,0.95441073179245,2.077135643266032e-13,1213.425099849701,0.004870261713948895,1210.2973461151123,0.007435332071987409,1100.4270553588867,0.09753994067057142,88.48115552425216,11.441029591349547,4.842865734489141e-06,35.94357799032318,0.61197498801308,,factual,7,61.21115183830261
Java: sort numbers.,52224,27,-2,1225.9030892035028,718.096041407812,0.5857690120304492,2.0271969741828006,2.068410971367518,0.7641537713353992,3046549.4249711805,0.26338640989056156,0.07530042099520497,0.0029590099694017133,8,7.5801777839660645,58.336194565165066,7.637813467555035,7.4295384883880615,8.592031717300415,9.372925972938537,9.459692001342773,6,160.5044551573436,1.9037346839904785,0.3388931453227997,2.6181571526111403e-13,1211.9461596012115,0.011385018705972376,1208.1866264343262,0.014451764519728362,978.0828475952148,0.20215320753396762,558.2293024277596,167.47996396308648,0.0021576646297048357,136.18576800050323,0.07781453298754908,,coding,0,60.973702907562256
Python: count vowels.,52224,27,-2,1118.6556632103118,742.9833168819897,0.6641751714283373,3.487769555530047,2.4611423168311877,0.5187728650801238,4364561.662980944,0.25999566454245254,0.08195797931551008,0.03297779743773959,8,8.996102968851725,83.57386762754565,9.141874404494171,8.569097995758057,11.105783462524414,11.648507213592529,11.708809852600098,6,122.36611593135157,1.9852105379104614,0.22256948053836823,2.190299709315115e-13,1117.8064346313477,0.000759151012141679,1114.772081375122,0.0034716508063300116,1029.2936325073242,0.07988341152856353,460.57641824485455,197.76904272475258,0.001103752002612389,188.04550751611623,0.374327745014273,,coding,1,60.20381999015808
