prompt,n_dim,depth,final_index,sigma_max,sigma_2,spectral_gap,stable_rank,participation_ratio_topk,topk_mass_fraction,frobenius_sq_est,lambda_max,lambda_bulk_pred,conv_residual,n_iter_subspace,rand_mean,rand_mean_sq,rand_rms,rand_p50,rand_p90,rand_p99,rand_max,n_probes,leading_over_rms,entropy,top1_prob,anisotropy_identity_relerr,fd_lead_growth_eps_1e-4,fd_lead_relerr_eps_1e-4,fd_lead_growth_eps_1e-3,fd_lead_relerr_eps_1e-3,fd_lead_growth_eps_1e-2,fd_lead_relerr_eps_1e-2,chi_fisher_max,chi_fisher_2,fisher_conv_residual,chi_fisher_along_hidden_lead,lead_alignment,error,label,prompt_idx,wall_s
What is photosynthesis?,30464,24,-1,6284.360353795683,3031.590313764578,0.4824023676385029,1.9915797560347683,2.0065540275246825,0.7371293804960573,78653827.85957943,0.36440913926599044,0.16367220662992565,0.002936742764195175,15,49.225645661354065,2581.8614712309422,50.81202093236346,46.550615310668945,66.09758644104005,82.66289558410647,86.8866195678711,32,123.67861459713939,0.11380977183580399,0.9874078035354614,3.9480171378825856e-14,6333.451271057129,0.007811601260547581,6652.143478393555,0.05852355751301474,8275.855255126953,0.3168969933636013,113.1426208587928,30.98442456935003,0.0038945095073192773,77.6563657165716,0.7630955784426112,,factual,0,86.29243397712708
What is evaporation?,30464,24,-1,7379.9972026431615,3204.489670780823,0.43421285710421786,1.6161658054515986,1.8540844358428907,0.8632269946205208,88023434.16460186,0.3711053557728668,0.16601693118178273,0.002342137879099656,15,51.945812702178955,2889.4247034073614,53.75336922842476,47.1491584777832,76.33851699829103,78.80083793640136,79.37638092041016,32,137.29366751471431,0.18949449062347412,0.9722843766212463,3.724915806043305e-14,7444.393038749695,0.008725726357114315,7858.241081237793,0.06480271813969624,9778.001403808594,0.32493294175051746,290.98660006108673,66.19695304338427,1.8136435137695676e-06,151.41212375213945,0.6306443759946221,,factual,1,86.14831399917603
Main language of Estonia?,30464,24,-1,3442.418037561216,2553.44737742026,0.741759818115888,4.737452023417931,3.708919678799803,0.4930814680798474,56139952.68188055,0.33933039255550296,0.15664702809265194,0.010525442176323648,15,42.26570129394531,1842.8293291058478,42.928188048249226,41.648691177368164,50.593156051635745,63.511909484863295,66.6170654296875,32,80.19015462968115,1.8402369022369385,0.4214540421962738,4.6673676471137784e-14,3429.39555644989,0.0037829458738693877,3301.0735511779785,0.041059651919373795,2382.2988510131836,0.3079577131483643,1716.1769117316612,1159.0780881482196,1.3081341989488502e-05,221.01691583169782,0.1665464736691901,,factual,2,86.17698526382446
What is respiration?,30464,24,-1,5979.040697810684,3198.3738998933545,0.5349309465420576,2.0997388826939813,2.4350256306200317,0.786460033846159,75063413.43507536,0.3623339756520816,0.16269881019026777,0.0011034131744870525,15,48.60540533065796,2464.0038548803623,49.638733413337235,46.27173042297363,60.854378128051756,76.30136695861817,80.08065795898438,32,120.45111320677007,0.13936443626880646,0.983548104763031,4.024515138145432e-14,6025.264263153076,0.0077309333852364805,6288.8593673706055,0.05181745454138927,8333.584594726562,0.39379961032511956,200.3143172768063,65.53822208367068,6.269303837856859e-07,117.0416413462226,0.701470279301311,,factual,3,86.85551118850708
Is Mars a planet?,30464,24,-1,5674.61141303574,2429.683030316871,0.42816729701268935,1.849913534854922,2.060830241396113,0.8000544324041194,59569462.89186787,0.36015655693880455,0.1578823478240261,0.006886048270805153,15,43.51186054944992,1955.4051632046962,44.219963401213896,42.31950378417969,50.88427429199219,64.17462810516358,64.51905822753906,32,128.32691337957633,0.8954216837882996,0.8115338683128357,4.5729348430744764e-14,5641.367435455322,0.005858370760692014,5323.488712310791,0.06187607840747447,3237.080764770508,0.4295502318741556,568.3217603900442,239.58898869749632,1.8271346746850564e-06,150.67126419200304,0.38765722432640476,,factual,4,85.4509949684143
Chemical symbol for calcium?,31360,24,-1,3907.5403274600485,2998.0739288495197,0.7672534836763427,4.252959059320091,4.03175087749543,0.6059338248067929,64937884.99184316,0.3446109742820658,0.15907611002070546,0.013541625328882366,15,44.925555765628815,2070.7233734643864,45.50520160887529,44.772274017333984,52.56606864929199,62.75880771636963,63.414039611816406,32,85.8701904245127,0.4092070460319519,0.9287059307098389,4.391019031715538e-14,3924.6606826782227,0.0043813636670264645,3998.220920562744,0.023206566152482722,4700.336456298828,0.20288878998060325,323.28636884300903,192.2539594522025,4.610296555275203e-07,57.16199693773751,0.35518754999070656,,factual,5,86.65151405334473
Symbol of the element tin?,31360,24,-1,4397.703263603138,2762.6449891462944,0.6282017734145154,4.391554892857634,3.772430258225377,0.5181461321668157,84931766.94430847,0.3495349040866554,0.16466813074560055,2.2937078828464085e-05,15,50.82553970813751,2708.283384703714,52.04117009352993,46.57099533081055,63.559685134887694,79.03473655700684,80.85249328613281,32,84.50431179197876,1.0809909105300903,0.7959197163581848,3.820882564667554e-14,4406.409561634064,0.0019797374922909962,4422.641277313232,0.0056706904070789954,4601.367568969727,0.046311516070714064,1011.3056278539036,415.48309071265595,0.008157496250091323,355.7471587534445,0.4286926568989786,,factual,6,85.77300095558167
Chemical symbol for nitrogen?,31360,24,-1,3866.6936359844713,2990.426247494302,0.7733807042959405,4.555148047933873,3.8915985663855466,0.5486084881176659,68105474.62962009,0.3441731276343997,0.16006832675960866,0.01930325663133592,15,45.73881870508194,2171.7306960975793,46.601831467202864,46.14831733703613,56.176136398315435,70.31421615600587,74.39362335205078,32,82.97299728886546,0.5796408653259277,0.8744567632675171,4.280274543958849e-14,3855.833411216736,0.0028086592293393242,3777.496337890625,0.02306810585244009,3052.411460876465,0.21058874888097714,367.4170113802361,302.83308396291557,1.8092887091235874e-06,81.19145173654124,0.26974095424481914,,factual,7,86.12362813949585
Symbol of the element iron?,31360,24,-1,4091.7432117259796,3053.7456327338086,0.7463189830638655,4.454256518854122,4.192937713831783,0.5856603455940982,74574777.35432945,0.3465302654737403,0.161958842257695,0.009330935245715613,15,47.57037043571472,2378.0222370640768,48.76496936392021,45.35937309265137,63.89035263061525,71.08533218383789,71.309814453125,32,83.90742914632605,1.1883248090744019,0.49684223532676697,4.107962436055148e-14,4104.824364185333,0.003196963196973398,4115.267276763916,0.0057491547784626305,4314.255523681641,0.05438081043746654,1651.2704092304298,456.3271801306246,1.7799427988248844e-06,470.2145736688277,0.44722481295143246,,factual,8,89.68806505203247
Chemical symbol for lead?,31360,24,-1,3541.6615331176413,2921.1863507224284,0.8248067533858822,4.562983245654959,4.279605694252603,0.6180942197733071,57235170.796509914,0.3405146356521163,0.15644563889568616,0.0001579705542198864,15,42.39729970693588,1825.1011095825866,42.72120210835115,41.17463493347168,49.454498291015625,53.18661594390869,53.84071731567383,32,82.9017293131186,0.7939571738243103,0.7894818186759949,4.6846403587867175e-14,3558.81929397583,0.0048445512643567655,3625.3411769866943,0.023627227810047623,4298.923110961914,0.2138153436637614,454.0351149373454,260.2873418177685,7.54749903055216e-07,30.0552661144211,0.14072071277645135,,factual,9,89.84351778030396
