prompt,n_dim,depth,final_index,sigma_max,sigma_2,spectral_gap,stable_rank,participation_ratio_topk,topk_mass_fraction,frobenius_sq_est,lambda_max,lambda_bulk_pred,conv_residual,n_iter_subspace,rand_mean,rand_mean_sq,rand_rms,rand_p50,rand_p90,rand_p99,rand_max,n_probes,leading_over_rms,entropy,top1_prob,anisotropy_identity_relerr,fd_lead_growth_eps_1e-4,fd_lead_relerr_eps_1e-4,fd_lead_growth_eps_1e-3,fd_lead_relerr_eps_1e-3,fd_lead_growth_eps_1e-2,fd_lead_relerr_eps_1e-2,chi_fisher_max,chi_fisher_2,fisher_conv_residual,chi_fisher_along_hidden_lead,lead_alignment,label,prompt_idx,wall_s
What is photosynthesis?,30464,23,-2,1043.0637943624986,612.1693100235291,0.5868953685595761,2.8058520847801782,2.0650338269823325,0.5461720252597528,3052716.784873965,0.30217033119252223,0.1001574252967376,0.0017507589489490312,8,9.780550122261047,100.20735244465484,10.010362253417947,9.107518672943115,12.107367992401123,14.589218425750731,15.001517295837402,16,104.19840640694594,0.11380977183580399,0.9874078035354614,1.9970285354775437e-13,1048.4488308429718,0.005162710573962974,1094.8084592819214,0.04960834150230298,1402.9409408569336,0.34501930604770437,113.14264270023996,30.984416606831797,0.06383146555270434,61.250198834590265,0.6174955672875737,factual,0,33.19550633430481
What is evaporation?,30464,23,-2,1030.0087866795202,551.7481053472478,0.5356732024839704,2.6912138518022375,1.989248754186246,0.5500181710881356,2855157.488062061,0.3016227222584396,0.09870297009028597,0.001098698408913324,8,9.44765055179596,93.72234401464223,9.681030111235179,8.767816066741943,12.483777046203613,13.227212142944335,13.339168548583984,16,106.39454426281063,0.18949449062347412,0.9722843766212463,2.0648788670726318e-13,1034.7948968410492,0.004646669255082923,1086.8995189666748,0.05523324948572084,1350.9632110595703,0.31160357904782854,290.9872504303605,66.19708537653773,2.925162498790829e-05,134.04116300059468,0.5682434933386358,factual,1,35.7508590221405
Main language of Estonia?,30464,23,-2,606.3484305451727,450.43735899610726,0.7428688462030233,6.033302924407839,3.009992572400326,0.34641026885313814,2218194.615890907,0.2785849908145623,0.09321528802861638,0.002089315111802852,8,8.372127294540405,72.81363628843576,8.533090664491722,8.002001285552979,9.669114589691162,13.095389080047607,13.625107765197754,16,71.05847744806766,1.8402369022369385,0.4214540421962738,2.3433959474027273e-13,604.182630777359,0.0035718732971180152,589.3262624740601,0.028073245041317047,469.1603660583496,0.22625285656874877,1716.176362324035,1159.0771778487308,0.055549457998230675,506.1316231015125,0.26387359852299475,factual,2,36.38139295578003
What is respiration?,30464,23,-2,917.2332375669729,598.0378327324019,0.652001920818678,3.1083971057309703,2.452345945332817,0.560033397108233,2615146.743726958,0.2965809473220506,0.09679412679268705,0.0053813275756484985,8,9.084446102380753,85.84384006456663,9.265195090475247,8.737537384033203,11.282133102416992,12.984917593002319,13.249391555786133,16,98.99772520816133,0.13936443626880646,0.983548104763031,2.154824764413719e-13,919.4382280111313,0.0024039582887415757,951.7813920974731,0.03766561558774482,1228.5879135131836,0.3394498402304969,200.31434628645016,65.53822693832804,1.1371422492943476e-05,83.86227200602661,0.4884930106952179,factual,3,38.096126079559326
Is Mars a planet?,30464,23,-2,784.9070831442041,509.35230624468664,0.6489332523339035,3.0282755906912735,2.465558001692388,0.5751818010080697,1865657.388799673,0.28980718892849017,0.08945267605765167,0.03248669419748063,8,7.783862292766571,61.24137962183801,7.82568716611123,7.836071491241455,8.56415605545044,9.336841201782226,9.45291519165039,16,100.29880654354636,0.8954216837882996,0.8115338683128357,2.5549405562026895e-13,780.3291827440262,0.0058324106107433766,743.4152960777283,0.05286203673977144,507.18445777893066,0.35382866498383925,568.3208672810631,239.58941751601296,4.270896541946952e-06,116.02133188660264,0.27041038674098067,factual,4,38.1248779296875
Chemical symbol for calcium?,31360,23,-2,642.1792131810435,514.6716172078003,0.8014454635776307,5.029233969736571,3.0469545856315303,0.43350228686418735,2074026.627071263,0.2810811918692354,0.09112421808120874,0.001997468374818893,8,8.03424534201622,66.13605315916017,8.132407586881031,7.562898397445679,10.171217918395996,10.371866130828858,10.376723289489746,16,78.96544858584187,0.4092070460319519,0.9287059307098389,2.4591415628117673e-13,643.2203948497772,0.0016213257099622726,644.7268724441528,0.003967209169679461,656.0965061187744,0.021671976688238538,323.2861959463676,192.25397756705522,2.1453087347729694e-06,76.97080829271147,0.4234331427363325,factual,5,36.964680194854736
Symbol of the element tin?,31360,23,-2,995.7464573128728,456.14053798878757,0.4580890392718349,3.169047023514657,2.11183920410392,0.47969548837526105,3142145.006311235,0.30015185496728763,0.10015495159188757,0.006893070176179643,8,9.791639387607574,100.19595045635316,10.009792727941631,8.906644344329834,12.95313024520874,14.48976821899414,14.608719825744629,16,99.4772303859217,1.0809909105300903,0.7959197163581848,1.9999157191207844e-13,996.3622689247131,0.0006184421820612027,1001.6524791717529,0.005931250686864706,1034.867763519287,0.03928842118302605,1011.3059590540182,415.4827431763391,0.03981886649809533,358.89378909646996,0.40887136606464675,factual,6,38.081538677215576
Chemical symbol for nitrogen?,31360,23,-2,633.014085027158,503.3841070591164,0.7952178616017984,4.775675174881029,2.9528071417414323,0.44373113912068085,1913645.6692367438,0.28045620317932,0.08937461377396064,0.007863203151764118,8,7.702625274658203,61.02186445270229,7.811649278654431,7.527484178543091,9.433945178985596,10.318484735488891,10.410311698913574,16,81.0346269329842,0.5796408653259277,0.8744567632675171,2.562303841692039e-13,632.7398121356964,0.00043328086680695377,636.1035704612732,0.0048805950881529786,650.7409572601318,0.02800391437137341,367.41705642887905,302.8330201558251,4.0043601269031215e-06,80.36181911089064,0.2945511351170158,factual,7,38.76343488693237
Symbol of the element iron?,31360,23,-2,891.8961301917478,511.6066195549526,0.5736168172912267,3.5716828324965304,2.4215022462579445,0.4724419846470572,2841197.641590648,0.29536302955766414,0.09796625546882658,0.017131441292866194,8,9.30896469950676,90.59941459153852,9.518372475982357,9.366249561309814,12.143681049346924,12.809040355682374,12.866460800170898,16,93.70258754237338,1.1883248090744019,0.49684223532676697,2.1027761554580013e-13,892.4433588981628,0.0006135565430666949,898.4365463256836,0.00733315899972527,941.807746887207,0.05596124369855568,1651.2697215648182,456.32627710123904,0.11873672853178348,499.8633347279649,0.467185996983023,factual,8,38.502655029296875
Chemical symbol for lead?,31360,23,-2,627.079690758135,473.2648772950625,0.7547124939142706,4.16667403716954,3.0408554706962945,0.5090041206796633,1638456.8089671808,0.28004667961106156,0.08599949809138638,0.005927208058612325,8,7.1778362691402435,52.24670946961673,7.228188533070837,7.027693271636963,8.304654598236084,8.854253435134888,8.9178466796875,16,86.75475022393178,0.7939571738243103,0.7894818186759949,2.7660462571175236e-13,627.1412223577499,9.812405109232274e-05,626.7106533050537,0.0005885016825136761,611.821699142456,0.024331822319476084,454.0350759499828,260.28740865564527,3.198883655589141e-06,81.91271847555242,0.05679787269650996,factual,9,39.34181332588196
