label,prompt,token_length,template_id
factual,What is condensation?,5,what is condensation?
factual,Define refraction.,5,define refraction.
factual,Define condensation.,5,define condensation.
factual,Who wrote Hamlet?,5,who wrote <e>?
factual,Who wrote The Stranger?,5,who wrote <e> <e>?
factual,Define magnetism.,5,define magnetism.
factual,Is Venus a planet?,5,is <e> a planet?
factual,What is magnetism?,5,what is magnetism?
factual,Currency of Vietnam?,5,currency of <e>?
coding,Python: count words.,5,python: count words.
coding,Go: sort numbers.,5,go: sort numbers.
coding,Java: sort numbers.,5,java: sort numbers.
coding,Python: sort numbers.,5,python: sort numbers.
coding,Go: count words.,5,go: count words.
coding,Java: count words.,5,java: count words.
coding,Rust: sort numbers.,5,rust: sort numbers.
coding,Ruby: sort numbers.,5,ruby: sort numbers.
coding,Rust: count words.,5,rust: count words.
reasoning,21 km in metres?,5,# km in metres?
reasoning,20% of 194?,5,#% of #?
reasoning,9 km in metres?,5,# km in metres?
reasoning,40% of 164?,5,#% of #?
reasoning,12 km in metres?,5,# km in metres?
reasoning,10% of 280?,5,#% of #?
reasoning,31 km in metres?,5,# km in metres?
reasoning,30% of 209?,5,#% of #?
reasoning,8 km in metres?,5,# km in metres?
hallucination_prone,constitutional article of Atlantis?,5,constitutional article of <e>?
hallucination_prone,official GDP of Atlantis?,5,official <e> of <e>?
hallucination_prone,public debt of Atlantis?,5,public debt of <e>?
hallucination_prone,internet domain of Atlantis?,5,internet domain of <e>?
hallucination_prone,Capital of Neverland?,5,capital of <e>?
hallucination_prone,Capital of Eldoria?,5,capital of <e>?
hallucination_prone,Capital of Camelot?,5,capital of <e>?
hallucination_prone,Capital of Westeros?,5,capital of <e>?
hallucination_prone,Capital of Mordor?,5,capital of <e>?
factual,Define osmosis.,6,define osmosis.
factual,Chemical symbol for carbon?,6,chemical symbol for carbon?
factual,Chemical symbol for iron?,6,chemical symbol for iron?
factual,Main language of Paraguay?,6,main language of <e>?
factual,Author of Ulysses?,6,author of <e>?
factual,Chemical symbol for gold?,6,chemical symbol for gold?
factual,Chemical symbol for copper?,6,chemical symbol for copper?
factual,Chemical symbol for chlorine?,6,chemical symbol for chlorine?
factual,Chemical symbol for sulfur?,6,chemical symbol for sulfur?
factual,Chemical symbol for potassium?,6,chemical symbol for potassium?
factual,Chemical symbol for lead?,6,chemical symbol for lead?
factual,Chemical symbol for oxygen?,6,chemical symbol for oxygen?
factual,Continent of Paraguay?,6,continent of <e>?
factual,Who wrote War and Peace?,6,who wrote <e> and <e>?
factual,Chemical symbol for hydrogen?,6,chemical symbol for hydrogen?
factual,Chemical symbol for silver?,6,chemical symbol for silver?
factual,On which continent is Uruguay?,6,on which continent is <e>?
factual,Currency of Paraguay?,6,currency of <e>?
factual,Chemical symbol for zinc?,6,chemical symbol for zinc?
coding,Python: reverse a list.,6,python: reverse a list.
coding,Java: find the minimum.,6,java: find the minimum.
coding,Ruby: find the maximum.,6,ruby: find the maximum.
coding,Go: find the minimum.,6,go: find the minimum.
coding,Rust: merge overlapping intervals.,6,rust: merge overlapping intervals.
coding,Python: trim whitespace.,6,python: trim whitespace.
coding,Ruby: find the average.,6,ruby: find the average.
coding,Rust: implement binary search.,6,rust: implement binary search.
coding,Go: merge two lists.,6,go: merge two lists.
coding,Java: reverse a string.,6,java: reverse a string.
coding,Ruby: count vowels.,6,ruby: count vowels.
coding,Python: validate balanced brackets.,6,python: validate balanced brackets.
coding,Go: remove duplicates.,6,go: remove duplicates.
coding,Ruby: filter even numbers.,6,ruby: filter even numbers.
coding,Python: merge two lists.,6,python: merge two lists.
coding,Ruby: reverse a list.,6,ruby: reverse a list.
coding,Python: swap two variables.,6,python: swap two variables.
coding,Ruby: validate balanced brackets.,6,ruby: validate balanced brackets.
coding,Go: sum a list.,6,go: sum a list.
reasoning,Compute 33 + 65.,6,compute # + #.
reasoning,What is 73 plus 31?,6,what is # plus #?
