prompt,template_id,token_length,n_layers,ftle_final,ftle_final_std,expansive_frac,entropy,top1_prob,label,prompt_idx
What is photosynthesis?,what is photosynthesis?,34,23,0.1002557735944686,0.007905611842117431,0.8260869565217391,0.11381032317876816,0.9874078035354614,factual,0
What is evaporation?,what is evaporation?,34,23,0.09534287634383076,0.00733390146155564,0.8260869565217391,0.189494788646698,0.9722843766212463,factual,1
Main language of Estonia?,main language of <e>?,34,23,0.08719782210772259,0.007122607668338648,0.8097826086956522,1.8402457237243652,0.42145130038261414,factual,2
What is respiration?,what is respiration?,34,23,0.09558645022741905,0.010295468239693854,0.8206521739130435,0.13936461508274078,0.983548104763031,factual,3
Is Mars a planet?,is <e> a planet?,34,23,0.08838001844808704,0.0028649776191227425,0.7989130434782609,0.8954192996025085,0.8115346431732178,factual,4
Chemical symbol for calcium?,chemical symbol for calcium?,35,23,0.08729298033509839,0.007144735964923459,0.8532608695652173,0.4092121422290802,0.9287046194076538,factual,5
Symbol of the element tin?,symbol of the element tin?,35,23,0.09723730938859326,0.010814632368547749,0.8206521739130435,1.0810024738311768,0.7959170937538147,factual,6
Chemical symbol for nitrogen?,chemical symbol for nitrogen?,35,23,0.08509689559598824,0.0044332576791510205,0.766304347826087,0.5796405673027039,0.874457597732544,factual,7
Symbol of the element iron?,symbol of the element iron?,35,23,0.08914979517155744,0.008554739254419878,0.8043478260869565,1.1883268356323242,0.4968411326408386,factual,8
Chemical symbol for lead?,chemical symbol for lead?,35,23,0.08877041369024151,0.007045945761673785,0.8152173913043479,0.7939521670341492,0.7894841432571411,factual,9
Symbol of the element chlorine?,symbol of the element chlorine?,35,23,0.09614485616761355,0.009998558658895608,0.8152173913043479,1.2609341144561768,0.7511615753173828,factual,10
Chemical symbol for zinc?,chemical symbol for zinc?,35,23,0.08744621561038776,0.0041995182361521995,0.8369565217391304,0.6345560550689697,0.8483108878135681,factual,11
Symbol of the element silver?,symbol of the element silver?,35,23,0.09159754972794558,0.005529642164070323,0.8206521739130435,1.2868702411651611,0.6174085140228271,factual,12
Define erosion in one sentence.,define erosion in one sentence.,35,23,0.10548921847690493,0.01220138175667552,0.8152173913043479,0.43715161085128784,0.9414987564086914,factual,13
Chemical symbol for hydrogen?,chemical symbol for hydrogen?,35,23,0.08807246869031374,0.006320218642166786,0.8260869565217391,0.6448425054550171,0.851884126663208,factual,14
Define magnetism in one sentence.,define magnetism in one sentence.,36,23,0.09625111579524517,0.007378598370944786,0.8043478260869565,0.24150492250919342,0.9655137062072754,factual,15
Author of Ulysses?,author of <e>?,36,23,0.09113709173409668,0.008087282216403216,0.7826086956521738,1.7027089595794678,0.5804764032363892,factual,16
Define refraction in one sentence.,define refraction in one sentence.,36,23,0.09419692695163825,0.010435137973237602,0.8206521739130435,1.3032548427581787,0.6799333095550537,factual,17
Define respiration in one sentence.,define respiration in one sentence.,36,23,0.1017357886620553,0.006715744067900521,0.8315217391304348,0.21565382182598114,0.9601845145225525,factual,18
"What colour is Saturn, briefly?","what colour is <e>, briefly?",36,23,0.09490409947329387,0.0077874989124255166,0.7934782608695652,0.3534620404243469,0.954026460647583,factual,19
What is the capital of Latvia?,what is the capital of <e>?,36,23,0.09696949723097811,0.00930974559924633,0.8315217391304348,0.6206640601158142,0.9026765823364258,factual,20
Hemisphere of Paraguay?,hemisphere of <e>?,36,23,0.10357285019075926,0.00689703348806067,0.8097826086956521,2.1437466144561768,0.406913697719574,factual,21
Define condensation in one sentence.,define condensation in one sentence.,36,23,0.10925628936638522,0.007643261276330109,0.8478260869565217,0.15754379332065582,0.9799804091453552,factual,22
Largest city of Paraguay?,largest city of <e>?,36,23,0.09184583990855802,0.006409688820382595,0.7989130434782609,1.2973123788833618,0.7202558517456055,factual,23
Who wrote Don Quixote?,who wrote <e> <e>?,36,23,0.09806794686886115,0.013485694616266348,0.7934782608695652,1.344949722290039,0.6935053467750549,factual,24
Define natural selection in one sentence.,define natural selection in one sentence.,36,23,0.09540659774966263,0.012342123990493626,0.8097826086956521,0.22503839433193207,0.9657875895500183,factual,25
What language is spoken in Bulgaria?,what language is spoken in <e>?,36,23,0.0862301564089751,0.00886776091966734,0.7989130434782608,1.2102023363113403,0.7076597809791565,factual,26
What currency does Paraguay use?,what currency does <e> use?,36,23,0.08440025627110201,0.008110762780226266,0.8152173913043479,1.2557817697525024,0.7255159616470337,factual,27
Define plate tectonics.,define plate tectonics.,36,23,0.09871717228961488,0.011487317645335103,0.8152173913043479,0.15901359915733337,0.9823218584060669,factual,28
Who wrote Ulysses?,who wrote <e>?,36,23,0.09724629516625079,0.011155038703806784,0.8260869565217391,1.6234526634216309,0.5715090036392212,factual,29
What is the chemical symbol of carbon?,what is the chemical symbol of carbon?,37,23,0.08220891555454414,0.0051089053902584804,0.7934782608695652,0.09660987555980682,0.9871496558189392,factual,30
Define osmosis in one sentence.,define osmosis in one sentence.,37,23,0.11884529766220256,0.015335833182668129,0.8260869565217391,1.1745494604110718,0.7745715975761414,factual,31
What is the chemical symbol of silver?,what is the chemical symbol of silver?,37,23,0.09219443207555417,0.010399449607658593,0.8369565217391304,0.17831435799598694,0.9680619239807129,factual,32
What is the chemical symbol of tin?,what is the chemical symbol of tin?,37,23,0.09157257540115325,0.013537658480869713,0.8097826086956521,0.1282758116722107,0.9801684617996216,factual,33
What is the chemical symbol of hydrogen?,what is the chemical symbol of hydrogen?,37,23,0.08671521774815631,0.007361032359201792,0.8369565217391304,0.11379507929086685,0.983920156955719,factual,34
What is the chemical symbol of zinc?,what is the chemical symbol of zinc?,37,23,0.08708533813171257,0.007792282908020034,0.8206521739130435,0.11703674495220184,0.9816925525665283,factual,35
What is the chemical symbol of neon?,what is the chemical symbol of neon?,37,23,0.10256537283915904,0.010992617193203049,0.8315217391304348,0.24346643686294556,0.9493317008018494,factual,36
What language is spoken in Paraguay?,what language is spoken in <e>?,37,23,0.08556984141557245,0.007818786056207302,0.7771739130434783,1.6547621488571167,0.47108834981918335,factual,37
What is the chemical symbol of helium?,what is the chemical symbol of helium?,37,23,0.09282786059158962,0.010933922623975384,0.8043478260869565,0.3387274444103241,0.9193881750106812,factual,38
Who wrote 1984?,who wrote #?,37,23,0.09930589194046548,0.009842455967303482,0.7934782608695653,2.352332353591919,0.2425776869058609,factual,39
What is the capital city of Paraguay?,what is the capital city of <e>?,38,23,0.09624570727101012,0.012274081564371814,0.8260869565217391,0.36178290843963623,0.9461207985877991,factual,40
On which continent is the country of Egypt located?,on which continent is the country of <e> located?,39,23,0.09158770876574387,0.006421773904144655,0.8260869565217391,0.7150896191596985,0.7270781993865967,factual,41
Who is the author of the book The Stranger?,who is the author of the book <e> <e>?,39,23,0.0939516161603918,0.008443187339624153,0.8097826086956521,1.3801677227020264,0.6509435772895813,factual,42
Name the capital city of the country called Italy.,name the capital city of the country called <e>.,39,23,0.10653477856689911,0.017638673844445306,0.8152173913043479,0.2702084183692932,0.9683725833892822,factual,43
Define plate tectonics in one sentence.,define plate tectonics in one sentence.,39,23,0.09963283337840342,0.010862881697483654,0.8260869565217391,0.47542279958724976,0.9004983901977539,factual,44
Who is the author of the book Faust?,who is the author of the book <e>?,39,23,0.09554651651486963,0.01350112209709338,0.7880434782608696,2.178359270095825,0.44338396191596985,factual,45
On which continent is the country of Ukraine located?,on which continent is the country of <e> located?,39,23,0.09101370924718921,0.007109027883708062,0.7934782608695652,0.8632577061653137,0.7871668934822083,factual,46
