label,prompt,token_length,template_id
factual,Chemical symbol for nitrogen?,35,chemical symbol for nitrogen?
factual,Chemical symbol for carbon?,35,chemical symbol for carbon?
factual,Chemical symbol for tin?,35,chemical symbol for tin?
factual,Hemisphere of Thailand?,35,hemisphere of <e>?
factual,Chemical symbol for neon?,35,chemical symbol for neon?
coding,Go: remove duplicates.,35,go: remove duplicates.
coding,Go: count vowels.,35,go: count vowels.
coding,Java: count vowels.,35,java: count vowels.
coding,Python: count words.,35,python: count words.
coding,Java: remove duplicates.,35,java: remove duplicates.
reasoning,3 km in metres?,35,# km in metres?
reasoning,9 km in metres?,35,# km in metres?
reasoning,4 km in metres?,35,# km in metres?
reasoning,6 km in metres?,35,# km in metres?
reasoning,5 km in metres?,35,# km in metres?
hallucination_prone,public debt of Atlantis?,35,public debt of <e>?
hallucination_prone,Capital of Eldoria?,35,capital of <e>?
hallucination_prone,inflation rate of Atlantis?,35,inflation rate of <e>?
hallucination_prone,official GDP of Atlantis?,35,official <e> of <e>?
hallucination_prone,internet domain of Atlantis?,35,internet domain of <e>?
factual,Symbol of the element hydrogen?,36,symbol of the element hydrogen?
factual,Symbol of the element chlorine?,36,symbol of the element chlorine?
factual,Author of The Stranger?,36,author of <e> <e>?
factual,Symbol of the element potassium?,36,symbol of the element potassium?
factual,On which continent is Paraguay?,36,on which continent is <e>?
factual,Symbol of the element tin?,36,symbol of the element tin?
factual,Symbol of the element copper?,36,symbol of the element copper?
factual,Define respiration in one sentence.,36,define respiration in one sentence.
factual,Symbol of the element helium?,36,symbol of the element helium?
factual,Symbol of the element oxygen?,36,symbol of the element oxygen?
coding,Go: square each element.,36,go: square each element.
coding,Python: find the maximum.,36,python: find the maximum.
coding,Java: flatten a list.,36,java: flatten a list.
coding,Python: reverse a list.,36,python: reverse a list.
coding,Java: implement binary search.,36,java: implement binary search.
coding,Python: swap two variables.,36,python: swap two variables.
coding,Python: trim whitespace.,36,python: trim whitespace.
coding,Go: find the maximum.,36,go: find the maximum.
coding,Go: merge two lists.,36,go: merge two lists.
coding,Java: filter even numbers.,36,java: filter even numbers.
reasoning,34 km in metres?,36,# km in metres?
reasoning,37 mod 4?,36,# mod #?
reasoning,37 km in metres?,36,# km in metres?
reasoning,28 mod 4?,36,# mod #?
reasoning,25 km in metres?,36,# km in metres?
reasoning,10 mod 5?,36,# mod #?
reasoning,27 km in metres?,36,# km in metres?
reasoning,17 mod 8?,36,# mod #?
reasoning,10 km in metres?,36,# km in metres?
reasoning,61 mod 5?,36,# mod #?
hallucination_prone,official GDP of Gondor?,36,official <e> of <e>?
hallucination_prone,public debt of Mordor?,36,public debt of <e>?
hallucination_prone,inflation rate of Eldoria?,36,inflation rate of <e>?
hallucination_prone,official census population of Atlantis?,36,official census population of <e>?
hallucination_prone,national railway operator of Atlantis?,36,national railway operator of <e>?
hallucination_prone,Capital of the Lunar Commonwealth?,36,capital of the <e> <e>?
hallucination_prone,Capital of Elbonia?,36,capital of <e>?
