prompt,n_dim,depth,final_index,sigma_max,sigma_2,spectral_gap,stable_rank,participation_ratio_topk,topk_mass_fraction,frobenius_sq_est,lambda_max,lambda_bulk_pred,conv_residual,n_iter_subspace,rand_mean,rand_mean_sq,rand_rms,rand_p50,rand_p90,rand_p99,rand_max,n_probes,leading_over_rms,entropy,top1_prob,anisotropy_identity_relerr,fd_lead_growth_eps_1e-4,fd_lead_relerr_eps_1e-4,fd_lead_growth_eps_1e-3,fd_lead_relerr_eps_1e-3,fd_lead_growth_eps_1e-2,fd_lead_relerr_eps_1e-2,chi_fisher_max,chi_fisher_2,fisher_conv_residual,chi_fisher_along_hidden_lead,lead_alignment,error,label,prompt_idx,wall_s
Chemical symbol for nitrogen?,33600,32,-1,97.9074970963257,70.06946296188974,0.7156700461145648,2.8768571133541365,3.254869594148354,0.7341645912920184,27577.201276564723,0.14325072267904135,-0.003086510567322384,0.0008184319803007926,15,0.8874148912727833,0.8207500379929977,0.9059525583566712,0.8655663430690765,1.1217420816421508,1.2562201142311098,1.2779492139816284,32,108.07132911442334,2.175295352935791,0.4592764377593994,2.207971804080078e-12,98.87684136629105,0.009900613320874234,97.97997772693634,0.00074029704323185,98.19191694259644,0.0029049853658388303,17.41556403781589,12.930482706656026,9.909292319830507e-07,12.321398177604813,0.3686925295588199,,factual,0,114.15087604522705
Chemical symbol for carbon?,33600,32,-1,95.7048889634647,64.10466195239047,0.66981595869007,2.388514431971801,3.129784297592987,0.8434543255792651,21877.42064382395,0.14253966823442654,-0.006704234106917334,0.0004426550262556787,15,0.79236223641783,0.6511137096376175,0.8069161726211822,0.7580845355987549,1.0208938419818878,1.0628605008125305,1.0748482942581177,32,118.60573899821445,2.257155418395996,0.4724826514720917,2.4785378883317245e-12,96.0609968751669,0.003720895719738377,95.75182944536209,0.0004904710972008255,95.87520956993103,0.0017796437393219427,14.88512847067836,4.9069360206472075,4.757680329170507e-07,12.101325957767145,0.8672683279934718,,factual,1,112.7128689289093
Chemical symbol for tin?,33600,32,-1,90.20516285513831,57.518449568666334,0.637640327317355,2.619530312888937,3.3095736607541046,0.7927779491574148,21315.04325239935,0.14069020822788778,-0.007111140430506312,1.5535461290900558e-05,15,0.7863552663475275,0.6343762872737903,0.7964774242084895,0.7730647623538971,0.9539606511592865,0.9893336349725723,0.9957723021507263,32,113.25514084051747,2.5958871841430664,0.5469228029251099,2.5110728210231125e-12,90.04824794828892,0.0017395335464488245,90.12042731046677,0.0009393646881123917,89.65259194374084,0.006125712696565296,20.547770250387686,7.889723776033561,0.0002271290947576232,16.417716355437324,0.8692432369289183,,factual,2,114.44596314430237
Hemisphere of Thailand?,33600,32,-1,65.46064273549092,62.100639418709726,0.9486713974019623,5.853853350504362,4.828155608820185,0.6159321980213853,25084.322097819215,0.13067028399301928,-0.004566922400026528,5.128827212178281e-06,15,0.850428344681859,0.7465572052922386,0.8640354190033176,0.8357751667499542,1.0576488852500916,1.2134140026569369,1.2508673667907715,32,75.76152701115579,4.252896308898926,0.17155443131923676,2.315010421188929e-12,65.36826491355896,0.0014111963780318257,65.50011783838272,0.0006030356752118561,66.3152813911438,0.01305576327910852,17.440745701545154,12.009195850282076,3.0338315489635132e-05,3.6885717917183043,0.03800296073678355,,factual,3,110.53865599632263
Chemical symbol for neon?,33600,32,-1,89.24545180817358,61.29604017811605,0.686825366853054,3.678670853545258,3.6476366958362307,0.619411643318963,29299.69613976386,0.1403559518508981,-0.0021398269008638974,0.0011562412796599349,15,0.9183067064732313,0.8720147660644005,0.9338173087196449,0.8848047256469727,1.157615554332733,1.3532519400119785,1.4044989347457886,32,95.57056929094865,1.5945979356765747,0.6221055388450623,2.14186570863928e-12,90.56529030203819,0.01478886001609906,89.14589881896973,0.001115496500794664,88.26467394828796,0.010989667708711005,41.28298240329144,7.427496408308278,1.2415362797744046e-06,5.69782162110355,0.053964575553897956,,factual,4,111.90853810310364
Symbol of the element hydrogen?,34560,32,-1,61.96469590574747,55.76283346773919,0.8999129690325176,4.561121782505375,4.594556384566701,0.6950040728868827,17512.990558947346,0.12895515006213848,-0.010621156573933704,1.4091233322490897e-05,15,0.6960082743316889,0.5067416249695412,0.7118578685169823,0.6618949174880981,0.9257398009300233,1.0117186933755875,1.0201175212860107,32,87.0464437441028,2.1698806285858154,0.46231409907341003,2.8094758833206165e-12,62.5171372666955,0.008915421158337041,62.133096158504486,0.0027176806130568727,63.59439492225647,0.026300444030062826,25.18334288410632,7.934140638621809,1.0547620517577094e-05,2.9105815411878364,0.2245425099231841,,factual,5,114.82399988174438
Symbol of the element chlorine?,34560,32,-1,61.18660849964312,52.78439887616986,0.8626789451237008,5.962504086005234,4.660749027658195,0.5325815474387325,22322.429115584007,0.12856026094404416,-0.006829765328117624,0.0005521722161337465,15,0.7862689029425383,0.6459036202425928,0.803681292704137,0.7557991147041321,0.9752165019512177,1.2248991453647613,1.2306690216064453,32,76.13292614251742,2.363464832305908,0.5353174209594727,2.4887753371486037e-12,61.69653497636318,0.00833395557008241,61.33674085140228,0.0024536799054655028,61.97924613952637,0.012954430051272676,17.941067054832892,8.583424244166359,0.0006129702998229131,4.618466897274116,0.0753981642727095,,factual,6,111.84212970733643
Author of The Stranger?,34560,32,-1,106.7544518838538,54.38512815187957,0.5094413131458793,2.764075066980925,2.5140939722977325,0.6060705600447733,31500.81742559273,0.1459541048459117,-0.0014481788815788978,0.01787467487992822,15,0.8973538149148226,0.9114819856942341,0.9547156569860128,0.825658917427063,1.3959419131278996,1.7804016923904422,1.8422845602035522,32,111.81805923321734,3.9549732208251953,0.2008403092622757,2.0950718382695907e-12,108.0506294965744,0.012141672687625196,106.59294575452805,0.0015128748869552664,104.46643829345703,0.021432488762960944,15.441642214259222,5.985323486720957,0.0023810701013715777,11.750415786971272,0.8115450575998249,,factual,7,111.935879945755
Symbol of the element potassium?,34560,32,-1,63.02025413444999,53.95822933555345,0.8562045659231379,5.970179979594674,4.546272042229081,0.5122854335359159,23710.88281248564,0.12948300527878068,-0.00588691891857379,0.0017077691819764639,15,0.8075912278145552,0.6860787850834965,0.8282987293745515,0.7529619038105011,1.0151108086109162,1.2555411016941072,1.25969398021698,32,76.08396813787282,2.33247447013855,0.4685506820678711,2.414679382709797e-12,63.75917699187994,0.011725164672511284,63.106827437877655,0.0013737377707643418,63.9626681804657,0.01495414544037075,34.30596658854204,11.844671603737332,1.266637174183306e-06,5.61742698572887,0.12369193452669355,,factual,8,115.07398223876953
On which continent is Paraguay?,34560,32,-1,77.21921073045434,53.64368129343998,0.6946934679336584,5.107847334609454,4.322206966822984,0.5128947180425517,30457.10531761772,0.1358327584291572,-0.0019746505192985496,0.003585294529529673,15,0.9227217249572277,0.8812819825699572,0.9387662022942438,0.8851461410522461,1.1412693738937378,1.3477736914157867,1.371502161026001,32,82.25606177731646,3.5437073707580566,0.15751145780086517,2.1305592418862667e-12,77.53667887300253,0.004111258578598548,77.33102142810822,0.0014479647822893571,76.88905596733093,0.004275552158592442,45.08360905073869,15.263112561846377,5.400723921804342e-05,32.086540450077315,0.831873501405268,,factual,9,111.13970518112183
